"Record ID","Data Resource ID","Data Resource Name","Institution ID","Institution","Collection ID","Collection","Licence","Catalogue Number","Taxon Concept GUID","Scientific Name - original","Vernacular name - original","Scientific Name","Taxon Rank","Vernacular name","Kingdom","Phylum","Class","Order","Family","Genus","Species","Institution Code","Collection Code","Locality","Latitude - original","Longitude - original","Geodetic datum - original","Latitude","Longitude","Coordinate Uncertainty in Metres","Country - parsed","State - parsed","Maximum elevation in meters","Minimum elevation in meters","Minimum depth in meters","Maximum depth in meters","Individual count","Year","Month","Basis Of Record","Basis Of Record - original","Occurrence status","Sex","Taxonomic Quality","Location Quality"
"af5fb88c-65e9-4a17-b208-d56df87d6ad6","dr88","Insectarium de Montréal","in22","Espace Pour La Vie","co79","Insectarium de Montréal","CC-BY-NC","IMQC3506","3792","Carabidae","","Carabidae","family","ground beetles","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","","","Espace pour la vie","IMQC","","","","","","","","","Québec","","","","","1","1980","08","PreservedSpecimen","PreservedSpecimen","present","Indéterminé","true",""
"cc8216f8-9658-45df-8d0d-137ed8a7c1a9","dr88","Insectarium de Montréal","in22","Espace Pour La Vie","co79","Insectarium de Montréal","CC-BY-NC","IMQC1517","7780","Chrysochus laurentia","","Chrysomelidae","family","leaf beetle","Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","","","Espace pour la vie","IMQC","","","","","","","","","Québec","","","","","1","1976","06","PreservedSpecimen","PreservedSpecimen","present","Indéterminé","true",""
"7d9f787e-3e72-414e-8552-a8b60bb71d2b","dr88","Insectarium de Montréal","in22","Espace Pour La Vie","co79","Insectarium de Montréal","CC-BY-NC","IMQC961","2079174","Acrosternum pensylvanicum (Gmelin, 1790)","","Acrosternum pensylvanicum (Gmelin, 1790)","species","","Animalia","Arthropoda","Insecta","Hemiptera","Pentatomidae","Acrosternum","Acrosternum pensylvanicum","Espace pour la vie","IMQC","","","","","","","","","Québec","","","","","1","1985","05","PreservedSpecimen","PreservedSpecimen","present","Indéterminé","true",""
"cc254c1e-87e9-4ee3-852b-358d60fa488d","dr88","Insectarium de Montréal","in22","Espace Pour La Vie","co79","Insectarium de Montréal","CC-BY-NC","IMQC2313","1037114","Notiobia terminata (Say, 1823)","","Notiobia terminata (Say, 1823)","species","","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Notiobia","Notiobia terminata","Espace pour la vie","IMQC","","","","","","","","","Québec","","","","","1","1977","06","PreservedSpecimen","PreservedSpecimen","present","Indéterminé","true",""
"cc1888c1-387c-4abd-a040-81ad4d0033e9","dr88","Insectarium de Montréal","in22","Espace Pour La Vie","co79","Insectarium de Montréal","CC-BY-NC","IMQC4315","8215657","Glycobius speciosus (Say, 1824)","","Glycobius speciosus (Say, 1824)","species","sugar maple borer","Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae","Glycobius","Glycobius speciosus","Espace pour la vie","IMQC","","","","","","","","","Québec","","","","","1","1975","06","PreservedSpecimen","PreservedSpecimen","present","Indéterminé","true",""
"cc084f2b-3111-4ca7-8010-712c4f138fd8","dr88","Insectarium de Montréal","in22","Espace Pour La Vie","co79","Insectarium de Montréal","CC-BY-NC","IMQC31339","1036138","Bembidion frontale (LeConte, 1847)","","Bembidion frontale (LeConte, 1848)","species","","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Bembidion","Bembidion frontale","Espace pour la vie","IMQC","","","","","","","","","Québec","","","","","1","1984","06","PreservedSpecimen","PreservedSpecimen","present","Indéterminé","true",""
"cc03b610-1d02-4038-8127-b162f5b9756c","dr88","Insectarium de Montréal","in22","Espace Pour La Vie","co79","Insectarium de Montréal","CC-BY-NC","IMQC8042","4239","Curculionidae","","Curculionidae","family","snout beetle","Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","","","Espace pour la vie","IMQC","Indéterminé","","","WGS84","","","","","Québec","","","","","1","1974","06","PreservedSpecimen","PreservedSpecimen","present","Indéterminé","true",""
"7d666f96-abdd-48be-a2e8-33f91d6d8bf7","dr88","Insectarium de Montréal","in22","Espace Pour La Vie","co79","Insectarium de Montréal","CC-BY-NC","IMQC3670","1036893","Clivina fossor (Linnaeus, 1758)","","Clivina fossor (Linnaeus, 1758)","species","","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Clivina","Clivina fossor","Espace pour la vie","IMQC","","","","","","","","","Québec","","","","","1","1976","05","PreservedSpecimen","PreservedSpecimen","present","Indéterminé","true",""
"cbece666-c822-443d-b8c3-5dde2516aae7","dr88","Insectarium de Montréal","in22","Espace Pour La Vie","co79","Insectarium de Montréal","CC-BY-NC","IMQC1839","7588138","Blapstinus metallicus (Fabricius, 1801)","","Blapstinus metallicus (Fabricius, 1801)","species","","Animalia","Arthropoda","Insecta","Coleoptera","Tenebrionidae","Scaphidema","Blapstinus metallicus","Espace pour la vie","IMQC","","","","","","","","","Québec","","","","","1","1974","06","PreservedSpecimen","PreservedSpecimen","present","Indéterminé","true",""
"cbeb048f-078a-43e1-91e2-9cc3a7659162","dr88","Insectarium de Montréal","in22","Espace Pour La Vie","co79","Insectarium de Montréal","CC-BY-NC","IMQC4270","1157657","Ropalopus sanguinicollis (Horn, 1860)","","Ropalopus sanguinicollis (Horn, 1860)","species","","Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae","Ropalopus","Ropalopus sanguinicollis","Espace pour la vie","IMQC","","","","","","","","","Québec","","","","","1","1985","06","PreservedSpecimen","PreservedSpecimen","present","Indéterminé","true",""
"7bd24709-5793-4125-b0dc-e0116f1bff79","dr88","Insectarium de Montréal","in22","Espace Pour La Vie","co79","Insectarium de Montréal","CC-BY-NC","IMQC32342","1048343","Galerucella vaccinii","","Galerucella Crotch, 1873","genus","","Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Galerucella","","Espace pour la vie","IMQC","","","","","","","","","Québec","","","","","1","1977","05","PreservedSpecimen","PreservedSpecimen","present","Indéterminé","true",""
"cbd7b2ef-7abb-4a64-b95c-a16fbd7291f2","dr88","Insectarium de Montréal","in22","Espace Pour La Vie","co79","Insectarium de Montréal","CC-BY-NC","IMQC4380","5602","Cerambycidae","","Cerambycidae","family","longhorned beetle","Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae","","","Espace pour la vie","IMQC","","","","","","","","","Québec","","","","","1","1976","06","PreservedSpecimen","PreservedSpecimen","present","Indéterminé","true",""
"cb7ebcc7-d71b-403e-a6e6-271f7863d4c1","dr88","Insectarium de Montréal","in22","Espace Pour La Vie","co79","Insectarium de Montréal","CC-BY-NC","IMQC1743","7857","Tenebrionidae","","Tenebrionidae","family","darkling beetles","Animalia","Arthropoda","Insecta","Coleoptera","Tenebrionidae","","","Espace pour la vie","IMQC","","","","","","","","","Québec","","","","","1","1978","06","PreservedSpecimen","PreservedSpecimen","present","Indéterminé","true",""
"7b7f3ac0-49ad-4017-b762-17e69691764f","dr88","Insectarium de Montréal","in22","Espace Pour La Vie","co79","Insectarium de Montréal","CC-BY-NC","IMQC758","2079081","Euschistus tristigmus (Say, 1832)","","Euschistus tristigmus (Say, 1832)","species","","Animalia","Arthropoda","Insecta","Hemiptera","Pentatomidae","Euschistus","Euschistus tristigmus","Espace pour la vie","IMQC","","","","","","","","","Québec","","","","","1","1981","05","PreservedSpecimen","PreservedSpecimen","present","Indéterminé","true",""
"be04ed6c-e331-45fd-af4c-2a04ca7e1756","dr88","Insectarium de Montréal","in22","Espace Pour La Vie","co79","Insectarium de Montréal","CC-BY-NC","IMQC1528","7780","Labidomera trimaculata","","Chrysomelidae","family","leaf beetle","Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","","","Espace pour la vie","IMQC","","","","","","","","","Québec","","","","","1","1975","07","PreservedSpecimen","PreservedSpecimen","present","Indéterminé","true",""
"bdd79542-da34-4be0-9398-2c8471758cf6","dr88","Insectarium de Montréal","in22","Espace Pour La Vie","co79","Insectarium de Montréal","CC-BY-NC","IMQC31517","1038604","Hygrotus nubilus (LeConte, 1855)","","Hygrotus nubilus (LeConte, 1855)","species","","Animalia","Arthropoda","Insecta","Coleoptera","Dytiscidae","Hygrotus","Hygrotus nubilus","Espace pour la vie","IMQC","","","","","","","","","Québec","","","","","1","1980","07","PreservedSpecimen","PreservedSpecimen","present","Indéterminé","true",""
"bdbbb94d-36b4-45c7-bbf1-db19a64b6f32","dr88","Insectarium de Montréal","in22","Espace Pour La Vie","co79","Insectarium de Montréal","CC-BY-NC","IMQC3306","1036191","Bembidion canadianum Casey, 1924","","Bembidion canadianum Casey, 1924","species","","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Bembidion","Bembidion canadianum","Espace pour la vie","IMQC","","","","","","","","","Québec","","","","","1","1968","07","PreservedSpecimen","PreservedSpecimen","present","Indéterminé","true",""
"af5dd496-508e-4e98-8758-b53e53cb4b5f","dr88","Insectarium de Montréal","in22","Espace Pour La Vie","co79","Insectarium de Montréal","CC-BY-NC","IMQC34998","1095973","Trogoderma glabrum (Herbst, 1783)","","Trogoderma glabrum (Herbst, 1783)","species","","Animalia","Arthropoda","Insecta","Coleoptera","Dermestidae","Trogoderma","Trogoderma glabrum","Espace pour la vie","IMQC","","","","","","","","","Québec","","","","","1","1984","08","PreservedSpecimen","PreservedSpecimen","present","Indéterminé","true",""
"af18c61c-40fb-4d38-87bc-8aa73dad5dfd","dr88","Insectarium de Montréal","in22","Espace Pour La Vie","co79","Insectarium de Montréal","CC-BY-NC","IMQC934","2079112","Brochymena quadripustulata (Fabricius, 1775)","","Brochymena quadripustulata (Fabricius, 1775)","species","fourhumped stink bug","Animalia","Arthropoda","Insecta","Hemiptera","Pentatomidae","Brochymena","Brochymena quadripustulata","Espace pour la vie","IMQC","","","","","","","","","Québec","","","","","1","1984","08","PreservedSpecimen","PreservedSpecimen","present","Indéterminé","true",""
"cb0d2fad-e9b6-46f2-86e2-839b8e683adf","dr88","Insectarium de Montréal","in22","Espace Pour La Vie","co79","Insectarium de Montréal","CC-BY-NC","IMQC31802","6963243","Thymalus marginicollis Chevrolat, 1842","","Thymalus marginicollis Chevrolat, 1842","species","","Animalia","Arthropoda","Insecta","Coleoptera","Trogossitidae","Thymalus","Thymalus marginicollis","Espace pour la vie","IMQC","","","","","","","","","Québec","","","","","1","1984","06","PreservedSpecimen","PreservedSpecimen","present","Indéterminé","true",""
"ae6b4d8d-e1b5-40c0-9bf6-2f2ca170fd98","dr88","Insectarium de Montréal","in22","Espace Pour La Vie","co79","Insectarium de Montréal","CC-BY-NC","IMQC20604","1470","Coleoptera  Linnaeus, 1758","","Coleoptera","order","beetle","Animalia","Arthropoda","Insecta","Coleoptera","","","","Espace pour la vie","IMQC","Indéterminé","","","WGS84","","","","","Québec","","","","","1","1975","08","PreservedSpecimen","PreservedSpecimen","present","Indéterminé","true",""
"ad3e6c96-1c38-4b77-bb79-b9bc90207ed5","dr88","Insectarium de Montréal","in22","Espace Pour La Vie","co79","Insectarium de Montréal","CC-BY-NC","IMQC3113","1034951","Cicindela formosa Say, 1817","","Cicindela formosa Say, 1817","species","Big Sand Tiger Beetle","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Cicindela","Cicindela formosa","Espace pour la vie","IMQC","","","","","","","","","Québec","","","","","1","1976","08","PreservedSpecimen","PreservedSpecimen","present","Indéterminé","true",""
"ca86e367-a302-476d-841e-11efbb51b9c7","dr88","Insectarium de Montréal","in22","Espace Pour La Vie","co79","Insectarium de Montréal","CC-BY-NC","IMQC31728","1042628","Dacne quadrimaculata (Say, 1835)","","Dacne quadrimaculata (Say, 1835)","species","","Animalia","Arthropoda","Insecta","Coleoptera","Erotylidae","Dacne","Dacne quadrimaculata","Espace pour la vie","IMQC","","","","","","","","","Québec","","","","","1","1983","06","PreservedSpecimen","PreservedSpecimen","present","Indéterminé","true",""
"ad14fdc1-f211-45e2-b9c4-40b37126d6c7","dr88","Insectarium de Montréal","in22","Espace Pour La Vie","co79","Insectarium de Montréal","CC-BY-NC","IMQC1286","2078915","Neottiglossa undata (Say, 1832)","","Neottiglossa undata (Say, 1832)","species","","Animalia","Arthropoda","Insecta","Hemiptera","Pentatomidae","Neottiglossa","Neottiglossa undata","Espace pour la vie","IMQC","","","","","","","","","Québec","","","","","1","1981","08","PreservedSpecimen","PreservedSpecimen","present","Indéterminé","true",""
"ac6617d6-bf0f-4e95-b0a3-2b023b8ed381","dr88","Insectarium de Montréal","in22","Espace Pour La Vie","co79","Insectarium de Montréal","CC-BY-NC","IMQC34612","1033639","Promoresia tardella (Fall, 1925)","","Promoresia tardella (Fall, 1925)","species","","Animalia","Arthropoda","Insecta","Coleoptera","Elmidae","Promoresia","Promoresia tardella","Espace pour la vie","IMQC","","","","","","","","","Québec","","","","","2","1974","08","PreservedSpecimen","PreservedSpecimen","present","Indéterminé","true",""
"ac49807a-e583-4293-9f8c-167d790cfe72","dr88","Insectarium de Montréal","in22","Espace Pour La Vie","co79","Insectarium de Montréal","CC-BY-NC","IMQC81252","1042593","Megalodacne heros (Say, 1823)","","Megalodacne heros (Say, 1823)","species","","Animalia","Arthropoda","Insecta","Coleoptera","Erotylidae","Megalodacne","Megalodacne heros","Espace pour la vie","IMQC","","","","","","","","","Québec","","","","","1","1983","08","PreservedSpecimen","PreservedSpecimen","present","Indéterminé","true",""
"abf9e82f-786d-48e5-aba2-42539ea3677c","dr88","Insectarium de Montréal","in22","Espace Pour La Vie","co79","Insectarium de Montréal","CC-BY-NC","IMQC3935","4292724","Typocerus velutinus (Olivier, 1795)","","Typocerus velutinus (Olivier, 1795)","species","","Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae","Typocerus","Typocerus velutinus","Espace pour la vie","IMQC","","","","","","","","","Québec","","","","","1","1974","08","PreservedSpecimen","PreservedSpecimen","present","Indéterminé","true",""
"abeb3804-a495-44e8-b880-2b6f4669dd1c","dr88","Insectarium de Montréal","in22","Espace Pour La Vie","co79","Insectarium de Montréal","CC-BY-NC","IMQC35026","1095973","Trogoderma glabrum (Herbst, 1783)","","Trogoderma glabrum (Herbst, 1783)","species","","Animalia","Arthropoda","Insecta","Coleoptera","Dermestidae","Trogoderma","Trogoderma glabrum","Espace pour la vie","IMQC","","","","","","","","","Québec","","","","","1","1984","08","PreservedSpecimen","PreservedSpecimen","present","Indéterminé","true",""
"abd5656e-319a-46e1-ab4e-96188eee4945","dr88","Insectarium de Montréal","in22","Espace Pour La Vie","co79","Insectarium de Montréal","CC-BY-NC","IMQC406","2078883","Cosmopepla bimaculata (Thomas, 1865)","","Cosmopepla bimaculata (Thomas, 1865)","species","","Animalia","Arthropoda","Insecta","Hemiptera","Pentatomidae","Cosmopepla","Cosmopepla bimaculata","Espace pour la vie","IMQC","","","","","","","","","Québec","","","","","1","1983","08","PreservedSpecimen","PreservedSpecimen","present","Indéterminé","true",""
"abd27ca3-a922-49b1-865f-f86fd71437a4","dr88","Insectarium de Montréal","in22","Espace Pour La Vie","co79","Insectarium de Montréal","CC-BY-NC","IMQC1555","1048960","Zygogramma suturalis (Fabricius, 1775)","","Zygogramma suturalis (Fabricius, 1775)","species","","Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Capraita","Zygogramma suturalis","Espace pour la vie","IMQC","","","","","","","","","Québec","","","","","1","1974","08","PreservedSpecimen","PreservedSpecimen","present","Indéterminé","true",""
