taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,kingdom,kingdomKey,phylum,phylumKey,class,classKey,order,orderKey,family,familyKey,genus,genusKey,species,speciesKey,iucnRedListCategory,Column1,_1,_2,_3
5283595,Drepanocladus (C.Müller Hal.) G.Roth,1899,5283595,Drepanocladus (C.Müller Hal.) G.Roth,11,GENUS,ACCEPTED,Plantae,6,Bryophyta,35,Bryopsida,327,Hypnales,617,Amblystegiaceae,4650,Drepanocladus,5283595,NE,,,NE,,
5406789,Alcea rosea L.,5406789,Alcea rosea L.,120,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Malvales,941,Malvaceae,6685,Alcea,5406788,Alcea rosea,5406789,,,,,,
5414197,Comptonia peregrina (L.) Coult.,5414197,Comptonia peregrina (L.) Coult.,390,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fagales,1354,Myricaceae,2432,Comptonia,8464883,Comptonia peregrina,5414197,,,,,,
5421111,Littorella uniflora (L.) Asch.,5421111,Littorella uniflora (L.) Asch.,1,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Lamiales,408,Plantaginaceae,2420,Littorella,3189795,Littorella uniflora,5421111,,,,,,
5421112,Littorella americana Fernald,5421112,Littorella americana Fernald,38,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Lamiales,408,Plantaginaceae,2420,Littorella,3189795,Littorella americana,5421112,,,,,,
5705596,Solidago canadensis var. scabra (Muhl. ex Willd.) Torr. & A.Gray,5389058,Solidago altissima L.,12,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Solidago,5388868,Solidago altissima,5389058,,,,,,
6311647,Carex supina subsp. spaniocarpa (Steud.) Hultén,2724342,Carex supina var. spaniocarpa (Steud.) B.Boivin,9,SYNONYM,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Cyperaceae,7708,Carex,2721893,Carex supina,2724323,,,,,,
6369042,Rubus arcticus var. acaulis (Michx.) B.Boivin,2992055,Rubus arcticus subsp. acaulis (Michx.) Focke,3,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Rosales,691,Rosaceae,5015,Rubus,2988638,Rubus arcticus,2992051,,,,,,
6426452,Thelypteris confluens (Thunb.) C.V.Morton,6426452,Thelypteris confluens (Thunb.) C.V.Morton,1,ACCEPTED,Plantae,6,Tracheophyta,7707728,Polypodiopsida,7228684,Polypodiales,392,Thelypteridaceae,6618,Thelypteris,5937466,Thelypteris confluens,6426452,,,,,,
7069571,Corallorhiza maculata var. maculata,7069571,Corallorhiza maculata var. maculata,15,ACCEPTED,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Asparagales,1169,Orchidaceae,7689,Corallorhiza,2797252,Corallorhiza maculata,2797273,,,,,,
