taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,kingdom,kingdomKey,phylum,phylumKey,class,classKey,order,orderKey,family,familyKey,genus,genusKey,species,speciesKey,iucnRedListCategory,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
5473345,Alectoria jubata var. lanestris Ach.,2606561,Bryoria lanestris (Ach.) Brodo & D.Hawksw.,2,SYNONYM,Fungi,5,Ascomycota,95,Lecanoromycetes,180,Lecanorales,1048,Parmeliaceae,8305,Bryoria,2606529,Bryoria lanestris,2606561,2606561,,,,,,,,,,,,,
6016910,Ustilago calamagrostidis (Fuckel) G.P.Clinton,6016910,Ustilago calamagrostidis (Fuckel) G.P.Clinton,1,ACCEPTED,Fungi,5,Basidiomycota,34,Ustilaginomycetes,148,Ustilaginales,1121,Ustilaginaceae,3821,Ustilago,2513349,Ustilago calamagrostidis,6016910,6016910,NE,,,,,,,,,,,,
7082489,Uncinula adunca var. adunca,8164473,Erysiphe adunca var. adunca,1,SYNONYM,Fungi,5,Ascomycota,95,Leotiomycetes,179,Erysiphales,1277,Erysiphaceae,8379,Erysiphe,2578311,Erysiphe adunca,3482525,3482525,,,,,,,,,,,,,
7503849,Magnaporthiopsis J.Luo & N.Zhang,2013,7503849,Magnaporthiopsis J.Luo & N.Zhang,1,GENUS,ACCEPTED,Fungi,5,Ascomycota,95,Sordariomycetes,320,Magnaporthales,7889691,Magnaporthaceae,5731,Magnaporthiopsis,7503849,7503849,,,,,,,,,,,,,
7853070,Polyporus picipes Rostk.,9400640,Cerioporus varius (Pers.) Zmitr. & Kovalenko,7,SYNONYM,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Polyporales,1145,Polyporaceae,3286,Cerioporus,7240748,Cerioporus varius,9400640,9400640,NE,,,,,,,,,,,,
8213692,Phloeomana speirea (Fr.) Redhead,8213692,Phloeomana speirea (Fr.) Redhead,2,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Porotheleaceae,3281477,Phloeomana,8090213,Phloeomana speirea,8213692,8213692,NE,,,,,,,,,,,,
8529105,Lithothelium macrosporum (R.C.Harris) Aptroot,8529105,Lithothelium macrosporum (R.C.Harris) Aptroot,1,ACCEPTED,Fungi,5,Ascomycota,95,Eurotiomycetes,178,Pyrenulales,1044,Pyrenulaceae,8352,Lithothelium,8144333,Lithothelium macrosporum,8529105,8529105,NE,,,,,,,,,,,,
9747099,Teichospora viticola (Phukhams., Camporesi & K.D.Hyde) Jaklitsch & Voglmayr,9747099,Teichospora viticola (Phukhams.,5,SPECIES,ACCEPTED,Fungi,5,Ascomycota,95,Dothideomycetes,183,Pleosporales,1047,Teichosporaceae,3272217,Teichospora,7253846,7253846,Teichospora viticola,9747099,NE,,,,,,,,,,
2514720,Aecidium thalictri Grev.,7778821,Puccinia recondita Roberge ex Desm.,1,SYNONYM,Fungi,5,Basidiomycota,34,Pucciniomycetes,270,Pucciniales,1126,Pucciniaceae,3251,Puccinia,9533895,Puccinia recondita,7778821,7778821,NE,,,,,,,,,,,,
2520650,Fulvifomes robiniae (Murrill) Murrill,2520642,Phellinus robiniae (Murrill) A.Ames,3,SYNONYM,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Hymenochaetales,1304,Hymenochaetaceae,8468,Phellinus,2520108,Phellinus robiniae,2520642,2520642,NE,,,,,,,,,,,,
2521020,Inonotus dryophilus (Berk.) Murrill,2521025,Inocutis dryophila (Berk.) Fiasson & Niemelä,3,SYNONYM,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Hymenochaetales,1304,Hymenochaetaceae,8468,Inocutis,2519994,Inocutis dryophila,2521025,2521025,NE,,,,,,,,,,,,
2523318,Hygrocybe (Fr.) P.Kumm.,1871,2523318,Hygrocybe (Fr.) P.Kumm.,111,GENUS,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Hygrophoraceae,4176,Hygrocybe,2523318,2523318,,,NE,,,,,,,,,,
2526474,Pleurotus sapidus Sacc.,2526649,Pleurotus cornucopiae (Paulet) Rolland,2,SYNONYM,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Pleurotaceae,4183,Pleurotus,2518610,Pleurotus cornucopiae,2526649,2526649,NE,,,,,,,,,,,,
2528110,Inocybe godeyi Gillet,2528110,Inocybe godeyi Gillet,1,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Inocybaceae,4177,Inocybe,2527866,Inocybe godeyi,2528110,2528110,NE,,,,,,,,,,,,
2551583,Russula adulterina Secr.,8894724,Russula integra (L.) Fr.,1,SYNONYM,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Russulales,1144,Russulaceae,7609,Russula,2551169,Russula integra,8894724,8894724,NE,,,,,,,,,,,,
2565472,Menispora tortuosa Corda,2565472,Menispora tortuosa Corda,2,ACCEPTED,Fungi,5,Ascomycota,95,Sordariomycetes,320,Chaetosphaeriales,1284,Chaetosphaeriaceae,8409,Menispora,2565463,Menispora tortuosa,2565472,2565472,NE,,,,,,,,,,,,
2580266,Ascozonus woolhopensis (Renny) Renny,8396615,Ascozonus woolhopensis (Renny) Boud.,1,SYNONYM,Fungi,5,Ascomycota,95,Leotiomycetes,179,Thelebolales,1054,Thelebolaceae,8388,Ascozonus,2580255,Ascozonus woolhopensis,8396615,8396615,NE,,,,,,,,,,,,
2580309,Coprotus disculus Kimbr., Luck-Allen & Cain,2580309,Coprotus disculus Kimbr.,2,SPECIES,ACCEPTED,Fungi,5,Ascomycota,95,Leotiomycetes,179,Thelebolales,1054,Thelebolaceae,8388,Coprotus,2580279,2580279,Coprotus disculus,2580309,NE,,,,,,,,,,
2581791,Cenangella ericae Rehm,2581788,Erikssonopsis ericae (Fr.) M.Morelet,1,SYNONYM,Fungi,5,Ascomycota,95,Leotiomycetes,179,Helotiales,1052,Helotiaceae,8381,Erikssonopsis,2581787,Erikssonopsis ericae,2581788,2581788,NE,,,,,,,,,,,,
2586866,Gloeoglossum glutinosum (Pers.) E.J.Durand,7463311,Glutinoglossum glutinosum (Pers.) Hustad, A.N.Mill.,1,SPECIES,SYNONYM,Fungi,5,Ascomycota,95,Geoglossomycetes,7371755,Geoglossales,8190781,Geoglossaceae,8380,Glutinoglossum,8288849,8288849,Glutinoglossum glutinosum,7463311,NE,,,,,,,,,,
2588224,Minutoexcipula V.Atienza & D.Hawksw.,2588224,Minutoexcipula V.Atienza & D.Hawksw.,5,ACCEPTED,Fungi,5,Ascomycota,95,,,,,,,Minutoexcipula,2588224,,,,,,,,,,,,,,,,
2607291,Psilolechia lucida (Ach.) M.Choisy,2607291,Psilolechia lucida (Ach.) M.Choisy,22,ACCEPTED,Fungi,5,Ascomycota,95,Lecanoromycetes,180,Lecanorales,1048,Psilolechiaceae,9736942,Psilolechia,9617710,Psilolechia lucida,2607291,2607291,NE,,,,,,,,,,,,
2610178,Caloplaca ammiospila (Wahlenb.) H.Olivier,8254349,Blastenia ammiospila (Wahlenb.) Arup, Søchting & Frödén,SPECIES,SYNONYM,Fungi,5,Ascomycota,95,Lecanoromycetes,180,Teloschistales,1050,Teloschistaceae,8368,Blastenia,7251265,Blastenia ammiospila,Blastenia ammiospila,8254349,NE,,,,,,,,,,,
2617252,Fusicladium radiosum (Lib.) Lind,5262773,Venturia radiosa (Lib.) Ferd. & C.A.Jørg.,2,SYNONYM,Fungi,5,Ascomycota,95,Dothideomycetes,183,Venturiales,7446671,Venturiaceae,8317,Venturia,2560762,Venturia radiosa,5262773,5262773,NE,,,,,,,,,,,,
3297360,Lycoperdaceae,3297360,Lycoperdaceae,8,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Lycoperdaceae,3297360,,,,,,,,,,,,,,,,,,
3349775,Cortinarius turgidoides Rob.Henry,3349775,Cortinarius turgidoides Rob.Henry,8,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Cortinariaceae,4172,Cortinarius,2524960,Cortinarius turgidoides,3349775,3349775,NE,,,,,,,,,,,,
3484633,Trichoglossum octopartitum Mains,3484633,Trichoglossum octopartitum Mains,1,ACCEPTED,Fungi,5,Ascomycota,95,Geoglossomycetes,7371755,Geoglossales,8190781,Geoglossaceae,8380,Trichoglossum,2586918,Trichoglossum octopartitum,3484633,3484633,NE,,,,,,,,,,,,
