"years_covered","first_year","last_year","time_depth","fid","within_quebec","geom"
26,1963,2019,57,855134,True,"MULTIPOLYGON(((-78.42666209541048 53.27826084269948,-78.87581973747022 53.43303553523545,-78.87581973747022 53.74090104049521,-78.42666209541048 53.89399371533502,-77.9775044533507 53.74090104049521,-77.9775044533507 53.43303553523545,-78.42666209541048 53.27826084269948)))"
3,1979,1994,16,855135,True,"MULTIPOLYGON(((-78.42666209541048 54.19850365951542,-78.87581973747022 54.34992286598044,-78.87581973747022 54.65109468086872,-78.42666209541048 54.80084929792614,-77.9775044533507 54.65109468086872,-77.9775044533507 54.34992286598044,-78.42666209541048 54.19850365951542)))"
5,1899,2018,120,855136,True,"MULTIPOLYGON(((-78.42666209541048 58.503624741029995,-78.87581973747022 58.63884453781967,-78.87581973747022 58.90772064628476,-78.42666209541048 59.04137950514466,-77.9775044533507 58.90772064628476,-77.9775044533507 58.63884453781967,-78.42666209541048 58.503624741029995)))"
43,1967,2020,54,855139,True,"MULTIPOLYGON(((-77.9775044533507 45.72003337687708,-78.42666209541048 45.90078910917727,-78.42666209541048 46.2605410411582,-77.9775044533507 46.43953751872483,-77.52834681129094 46.2605410411582,-77.52834681129094 45.90078910917727,-77.9775044533507 45.72003337687708)))"
41,1972,2019,48,855140,True,"MULTIPOLYGON(((-77.9775044533507 46.795772360332826,-78.42666209541048 46.97301113617428,-78.42666209541048 47.32573259083572,-77.9775044533507 47.50121581120846,-77.52834681129094 47.32573259083572,-77.52834681129094 46.97301113617428,-77.9775044533507 46.795772360332826)))"
47,1953,2020,68,855141,True,"MULTIPOLYGON(((-77.9775044533507 47.850428750131066,-78.42666209541048 48.024159135835944,-78.42666209541048 48.3698695606592,-77.9775044533507 48.54185038840175,-77.52834681129094 48.3698695606592,-77.52834681129094 48.024159135835944,-77.9775044533507 47.850428750131066)))"
43,1972,2019,48,855142,True,"MULTIPOLYGON(((-77.9775044533507 48.884065394003045,-78.42666209541048 49.0543004778452,-78.42666209541048 49.3930282153543,-77.9775044533507 49.56152188828269,-77.52834681129094 49.3930282153543,-77.52834681129094 49.0543004778452,-77.9775044533507 48.884065394003045)))"
30,1972,2018,47,855143,True,"MULTIPOLYGON(((-77.9775044533507 49.89677152835408,-78.42666209541048 50.06352862398913,-78.42666209541048 50.39531032037834,-77.9775044533507 50.56033615484632,-77.52834681129094 50.39531032037834,-77.52834681129094 50.06352862398913,-77.9775044533507 49.89677152835408)))"
21,1972,2019,48,855144,True,"MULTIPOLYGON(((-77.9775044533507 50.88866100833348,-78.42666209541048 51.05196136232246,-78.42666209541048 51.37684138502317,-77.9775044533507 51.538422486042094,-77.52834681129094 51.37684138502317,-77.52834681129094 51.05196136232246,-77.9775044533507 50.88866100833348)))"
24,1979,2019,41,855145,True,"MULTIPOLYGON(((-77.9775044533507 51.85987056614272,-78.42666209541048 52.01973907100145,-78.42666209541048 52.33776893795314,-77.9775044533507 52.49593191547987,-77.52834681129094 52.33776893795314,-77.52834681129094 52.01973907100145,-77.9775044533507 51.85987056614272)))"
21,1979,2019,41,855146,True,"MULTIPOLYGON(((-77.9775044533507 52.81055810568268,-78.42666209541048 52.96702301969378,-78.42666209541048 53.27826084269948,-77.9775044533507 53.43303553523545,-77.52834681129094 53.27826084269948,-77.52834681129094 52.96702301969378,-77.9775044533507 52.81055810568268)))"
7,1979,2003,25,855147,True,"MULTIPOLYGON(((-77.9775044533507 53.74090104049521,-78.42666209541048 53.89399371533502,-78.42666209541048 54.19850365951542,-77.9775044533507 54.34992286598044,-77.52834681129094 54.19850365951542,-77.52834681129094 53.89399371533502,-77.9775044533507 53.74090104049521)))"
5,1935,1997,63,855148,True,"MULTIPOLYGON(((-77.9775044533507 54.65109468086872,-78.42666209541048 54.80084929792614,-78.42666209541048 55.098701058943526,-77.9775044533507 55.24680027961811,-77.52834681129094 55.098701058943526,-77.52834681129094 54.80084929792614,-77.9775044533507 54.65109468086872)))"
32,1899,2019,121,855149,True,"MULTIPOLYGON(((-77.9775044533507 58.09482323759508,-78.42666209541048 58.23161534424471,-78.42666209541048 58.503624741029995,-77.9775044533507 58.63884453781967,-77.52834681129094 58.503624741029995,-77.52834681129094 58.23161534424471,-77.9775044533507 58.09482323759508)))"
5,1899,2017,119,855150,True,"MULTIPOLYGON(((-77.9775044533507 58.90772064628476,-78.42666209541048 59.04137950514466,-78.42666209541048 59.307145248161845,-77.9775044533507 59.43925471735169,-77.52834681129094 59.307145248161845,-77.52834681129094 59.04137950514466,-77.9775044533507 58.90772064628476)))"
4,1899,2013,115,855152,True,"MULTIPOLYGON(((-77.9775044533507 60.47774172561073,-78.42666209541048 60.605273902188486,-78.42666209541048 60.85883387799965,-77.9775044533507 60.98486438834694,-77.52834681129094 60.85883387799965,-77.52834681129094 60.605273902188486,-77.9775044533507 60.47774172561073)))"
16,1885,2019,135,855154,True,"MULTIPOLYGON(((-77.9775044533507 61.97530160621213,-78.42666209541048 62.096901097190106,-78.42666209541048 62.33864526623141,-77.9775044533507 62.458792744560206,-77.52834681129094 62.33864526623141,-77.52834681129094 62.096901097190106,-77.9775044533507 61.97530160621213)))"
44,1971,2020,50,855155,True,"MULTIPOLYGON(((-77.52834681129094 46.2605410411582,-77.9775044533507 46.43953751872483,-77.9775044533507 46.795772360332826,-77.52834681129094 46.97301113617428,-77.07918916923119 46.795772360332826,-77.07918916923119 46.43953751872483,-77.52834681129094 46.2605410411582)))"
40,1972,2020,49,855156,True,"MULTIPOLYGON(((-77.52834681129094 47.32573259083572,-77.9775044533507 47.50121581120846,-77.9775044533507 47.850428750131066,-77.52834681129094 48.024159135835944,-77.07918916923119 47.850428750131066,-77.07918916923119 47.50121581120846,-77.52834681129094 47.32573259083572)))"
52,1953,2020,68,855157,True,"MULTIPOLYGON(((-77.52834681129094 48.3698695606592,-77.9775044533507 48.54185038840175,-77.9775044533507 48.884065394003045,-77.52834681129094 49.0543004778452,-77.07918916923119 48.884065394003045,-77.07918916923119 48.54185038840175,-77.52834681129094 48.3698695606592)))"
41,1914,2019,106,855158,True,"MULTIPOLYGON(((-77.52834681129094 49.3930282153543,-77.9775044533507 49.56152188828269,-77.9775044533507 49.89677152835408,-77.52834681129094 50.06352862398913,-77.07918916923119 49.89677152835408,-77.07918916923119 49.56152188828269,-77.52834681129094 49.3930282153543)))"
34,1972,2019,48,855159,True,"MULTIPOLYGON(((-77.52834681129094 50.39531032037834,-77.9775044533507 50.56033615484632,-77.9775044533507 50.88866100833348,-77.52834681129094 51.05196136232246,-77.07918916923119 50.88866100833348,-77.07918916923119 50.56033615484632,-77.52834681129094 50.39531032037834)))"
27,1912,2019,108,855160,True,"MULTIPOLYGON(((-77.52834681129094 51.37684138502317,-77.9775044533507 51.538422486042094,-77.9775044533507 51.85987056614272,-77.52834681129094 52.01973907100145,-77.07918916923119 51.85987056614272,-77.07918916923119 51.538422486042094,-77.52834681129094 51.37684138502317)))"
28,1979,2019,41,855161,True,"MULTIPOLYGON(((-77.52834681129094 52.33776893795314,-77.9775044533507 52.49593191547987,-77.9775044533507 52.81055810568268,-77.52834681129094 52.96702301969378,-77.07918916923119 52.81055810568268,-77.07918916923119 52.49593191547987,-77.52834681129094 52.33776893795314)))"
33,1972,2019,48,855162,True,"MULTIPOLYGON(((-77.52834681129094 53.27826084269948,-77.9775044533507 53.43303553523545,-77.9775044533507 53.74090104049521,-77.52834681129094 53.89399371533502,-77.07918916923119 53.74090104049521,-77.07918916923119 53.43303553523545,-77.52834681129094 53.27826084269948)))"
4,1979,2013,35,855163,True,"MULTIPOLYGON(((-77.52834681129094 54.19850365951542,-77.9775044533507 54.34992286598044,-77.9775044533507 54.65109468086872,-77.52834681129094 54.80084929792614,-77.07918916923119 54.65109468086872,-77.07918916923119 54.34992286598044,-77.52834681129094 54.19850365951542)))"
33,1914,2019,106,855164,True,"MULTIPOLYGON(((-77.52834681129094 55.098701058943526,-77.9775044533507 55.24680027961811,-77.9775044533507 55.54135067495744,-77.52834681129094 55.68780399105903,-77.07918916923119 55.54135067495744,-77.07918916923119 55.24680027961811,-77.52834681129094 55.098701058943526)))"
4,1899,2013,115,855165,True,"MULTIPOLYGON(((-77.52834681129094 57.681282394574936,-77.9775044533507 57.81965799444261,-77.9775044533507 58.09482323759508,-77.52834681129094 58.23161534424471,-77.07918916923119 58.09482323759508,-77.07918916923119 57.81965799444261,-77.52834681129094 57.681282394574936)))"
2,1899,2013,115,855166,True,"MULTIPOLYGON(((-77.52834681129094 58.503624741029995,-77.9775044533507 58.63884453781967,-77.9775044533507 58.90772064628476,-77.52834681129094 59.04137950514466,-77.07918916923119 58.90772064628476,-77.07918916923119 58.63884453781967,-77.52834681129094 58.503624741029995)))"
12,1899,2013,115,855167,True,"MULTIPOLYGON(((-77.52834681129094 59.307145248161845,-77.9775044533507 59.43925471735169,-77.9775044533507 59.70193335847631,-77.52834681129094 59.83250515068524,-77.07918916923119 59.70193335847631,-77.07918916923119 59.43925471735169,-77.52834681129094 59.307145248161845)))"
7,1899,2016,118,855168,True,"MULTIPOLYGON(((-77.52834681129094 60.09212027069717,-77.9775044533507 60.22116625148502,-77.9775044533507 60.47774172561073,-77.52834681129094 60.605273902188486,-77.07918916923119 60.47774172561073,-77.07918916923119 60.22116625148502,-77.52834681129094 60.09212027069717)))"
2,1899,2013,115,855169,True,"MULTIPOLYGON(((-77.52834681129094 60.85883387799965,-77.9775044533507 60.98486438834694,-77.9775044533507 61.23543326433037,-77.52834681129094 61.359974366647215,-77.07918916923119 61.23543326433037,-77.07918916923119 60.98486438834694,-77.52834681129094 60.85883387799965)))"
5,1980,2019,40,855171,True,"MULTIPOLYGON(((-77.52834681129094 62.33864526623141,-77.9775044533507 62.458792744560206,-77.9775044533507 62.69764551140301,-77.52834681129094 62.816353617243394,-77.07918916923119 62.69764551140301,-77.07918916923119 62.458792744560206,-77.52834681129094 62.33864526623141)))"
51,1924,2020,97,855172,True,"MULTIPOLYGON(((-77.07918916923119 45.72003337687708,-77.52834681129094 45.90078910917727,-77.52834681129094 46.2605410411582,-77.07918916923119 46.43953751872483,-76.63003152717141 46.2605410411582,-76.63003152717141 45.90078910917727,-77.07918916923119 45.72003337687708)))"
52,1926,2020,95,855173,True,"MULTIPOLYGON(((-77.07918916923119 46.795772360332826,-77.52834681129094 46.97301113617428,-77.52834681129094 47.32573259083572,-77.07918916923119 47.50121581120846,-76.63003152717141 47.32573259083572,-76.63003152717141 46.97301113617428,-77.07918916923119 46.795772360332826)))"
46,1953,2020,68,855174,True,"MULTIPOLYGON(((-77.07918916923119 47.850428750131066,-77.52834681129094 48.024159135835944,-77.52834681129094 48.3698695606592,-77.07918916923119 48.54185038840175,-76.63003152717141 48.3698695606592,-76.63003152717141 48.024159135835944,-77.07918916923119 47.850428750131066)))"
41,1970,2020,51,855175,True,"MULTIPOLYGON(((-77.07918916923119 48.884065394003045,-77.52834681129094 49.0543004778452,-77.52834681129094 49.3930282153543,-77.07918916923119 49.56152188828269,-76.63003152717141 49.3930282153543,-76.63003152717141 49.0543004778452,-77.07918916923119 48.884065394003045)))"
35,1972,2019,48,855176,True,"MULTIPOLYGON(((-77.07918916923119 49.89677152835408,-77.52834681129094 50.06352862398913,-77.52834681129094 50.39531032037834,-77.07918916923119 50.56033615484632,-76.63003152717141 50.39531032037834,-76.63003152717141 50.06352862398913,-77.07918916923119 49.89677152835408)))"
31,1967,2019,53,855177,True,"MULTIPOLYGON(((-77.07918916923119 50.88866100833348,-77.52834681129094 51.05196136232246,-77.52834681129094 51.37684138502317,-77.07918916923119 51.538422486042094,-76.63003152717141 51.37684138502317,-76.63003152717141 51.05196136232246,-77.07918916923119 50.88866100833348)))"
34,1970,2019,50,855178,True,"MULTIPOLYGON(((-77.07918916923119 51.85987056614272,-77.52834681129094 52.01973907100145,-77.52834681129094 52.33776893795314,-77.07918916923119 52.49593191547987,-76.63003152717141 52.33776893795314,-76.63003152717141 52.01973907100145,-77.07918916923119 51.85987056614272)))"
26,1979,2019,41,855179,True,"MULTIPOLYGON(((-77.07918916923119 52.81055810568268,-77.52834681129094 52.96702301969378,-77.52834681129094 53.27826084269948,-77.07918916923119 53.43303553523545,-76.63003152717141 53.27826084269948,-76.63003152717141 52.96702301969378,-77.07918916923119 52.81055810568268)))"
5,1979,2011,33,855180,True,"MULTIPOLYGON(((-77.07918916923119 53.74090104049521,-77.52834681129094 53.89399371533502,-77.52834681129094 54.19850365951542,-77.07918916923119 54.34992286598044,-76.63003152717141 54.19850365951542,-76.63003152717141 53.89399371533502,-77.07918916923119 53.74090104049521)))"
2,1979,1993,15,855181,True,"MULTIPOLYGON(((-77.07918916923119 54.65109468086872,-77.52834681129094 54.80084929792614,-77.52834681129094 55.098701058943526,-77.07918916923119 55.24680027961811,-76.63003152717141 55.098701058943526,-76.63003152717141 54.80084929792614,-77.07918916923119 54.65109468086872)))"
6,1920,2019,100,855182,True,"MULTIPOLYGON(((-77.07918916923119 55.54135067495744,-77.52834681129094 55.68780399105903,-77.52834681129094 55.9790722914612,-77.07918916923119 56.123889478634865,-76.63003152717141 55.9790722914612,-76.63003152717141 55.68780399105903,-77.07918916923119 55.54135067495744)))"
2,1899,2013,115,855183,True,"MULTIPOLYGON(((-77.07918916923119 57.26296906137591,-77.52834681129094 57.40293913666191,-77.52834681129094 57.681282394574936,-77.07918916923119 57.81965799444261,-76.63003152717141 57.681282394574936,-76.63003152717141 57.40293913666191,-77.07918916923119 57.26296906137591)))"
5,1899,2017,119,855184,True,"MULTIPOLYGON(((-77.07918916923119 58.09482323759508,-77.52834681129094 58.23161534424471,-77.52834681129094 58.503624741029995,-77.07918916923119 58.63884453781967,-76.63003152717141 58.503624741029995,-76.63003152717141 58.23161534424471,-77.07918916923119 58.09482323759508)))"
2,1899,2013,115,855185,True,"MULTIPOLYGON(((-77.07918916923119 58.90772064628476,-77.52834681129094 59.04137950514466,-77.52834681129094 59.307145248161845,-77.07918916923119 59.43925471735169,-76.63003152717141 59.307145248161845,-76.63003152717141 59.04137950514466,-77.07918916923119 58.90772064628476)))"
30,1899,2019,121,855186,True,"MULTIPOLYGON(((-77.07918916923119 59.70193335847631,-77.52834681129094 59.83250515068524,-77.52834681129094 60.09212027069717,-77.07918916923119 60.22116625148502,-76.63003152717141 60.09212027069717,-76.63003152717141 59.83250515068524,-77.07918916923119 59.70193335847631)))"
2,1899,2013,115,855187,True,"MULTIPOLYGON(((-77.07918916923119 60.47774172561073,-77.52834681129094 60.605273902188486,-77.52834681129094 60.85883387799965,-77.07918916923119 60.98486438834694,-76.63003152717141 60.85883387799965,-76.63003152717141 60.605273902188486,-77.07918916923119 60.47774172561073)))"
75,1907,2020,114,855190,True,"MULTIPOLYGON(((-76.63003152717141 45.17424592827279,-77.07918916923119 45.35676185632765,-77.07918916923119 45.72003337687708,-76.63003152717141 45.90078910917727,-76.18087388511167 45.72003337687708,-76.18087388511167 45.35676185632765,-76.63003152717141 45.17424592827279)))"
51,1935,2020,86,855191,True,"MULTIPOLYGON(((-76.63003152717141 46.2605410411582,-77.07918916923119 46.43953751872483,-77.07918916923119 46.795772360332826,-76.63003152717141 46.97301113617428,-76.18087388511167 46.795772360332826,-76.18087388511167 46.43953751872483,-76.63003152717141 46.2605410411582)))"
39,1972,2019,48,855192,True,"MULTIPOLYGON(((-76.63003152717141 47.32573259083572,-77.07918916923119 47.50121581120846,-77.07918916923119 47.850428750131066,-76.63003152717141 48.024159135835944,-76.18087388511167 47.850428750131066,-76.18087388511167 47.50121581120846,-76.63003152717141 47.32573259083572)))"
37,1975,2019,45,855193,True,"MULTIPOLYGON(((-76.63003152717141 48.3698695606592,-77.07918916923119 48.54185038840175,-77.07918916923119 48.884065394003045,-76.63003152717141 49.0543004778452,-76.18087388511167 48.884065394003045,-76.18087388511167 48.54185038840175,-76.63003152717141 48.3698695606592)))"
36,1930,2019,90,855194,True,"MULTIPOLYGON(((-76.63003152717141 49.3930282153543,-77.07918916923119 49.56152188828269,-77.07918916923119 49.89677152835408,-76.63003152717141 50.06352862398913,-76.18087388511167 49.89677152835408,-76.18087388511167 49.56152188828269,-76.63003152717141 49.3930282153543)))"
33,1914,2020,107,855195,True,"MULTIPOLYGON(((-76.63003152717141 50.39531032037834,-77.07918916923119 50.56033615484632,-77.07918916923119 50.88866100833348,-76.63003152717141 51.05196136232246,-76.18087388511167 50.88866100833348,-76.18087388511167 50.56033615484632,-76.63003152717141 50.39531032037834)))"
21,1979,2019,41,855196,True,"MULTIPOLYGON(((-76.63003152717141 51.37684138502317,-77.07918916923119 51.538422486042094,-77.07918916923119 51.85987056614272,-76.63003152717141 52.01973907100145,-76.18087388511167 51.85987056614272,-76.18087388511167 51.538422486042094,-76.63003152717141 51.37684138502317)))"
28,1979,2019,41,855197,True,"MULTIPOLYGON(((-76.63003152717141 52.33776893795314,-77.07918916923119 52.49593191547987,-77.07918916923119 52.81055810568268,-76.63003152717141 52.96702301969378,-76.18087388511167 52.81055810568268,-76.18087388511167 52.49593191547987,-76.63003152717141 52.33776893795314)))"
27,1945,2017,73,855198,True,"MULTIPOLYGON(((-76.63003152717141 53.27826084269948,-77.07918916923119 53.43303553523545,-77.07918916923119 53.74090104049521,-76.63003152717141 53.89399371533502,-76.18087388511167 53.74090104049521,-76.18087388511167 53.43303553523545,-76.63003152717141 53.27826084269948)))"
8,1979,1998,20,855199,True,"MULTIPOLYGON(((-76.63003152717141 54.19850365951542,-77.07918916923119 54.34992286598044,-77.07918916923119 54.65109468086872,-76.63003152717141 54.80084929792614,-76.18087388511167 54.65109468086872,-76.18087388511167 54.34992286598044,-76.63003152717141 54.19850365951542)))"
6,1979,2016,38,855200,True,"MULTIPOLYGON(((-76.63003152717141 55.098701058943526,-77.07918916923119 55.24680027961811,-77.07918916923119 55.54135067495744,-76.63003152717141 55.68780399105903,-76.18087388511167 55.54135067495744,-76.18087388511167 55.24680027961811,-76.63003152717141 55.098701058943526)))"
13,1915,2015,101,855201,True,"MULTIPOLYGON(((-76.63003152717141 55.9790722914612,-77.07918916923119 56.123889478634865,-77.07918916923119 56.41189550781593,-76.63003152717141 56.55508661092018,-76.18087388511167 56.41189550781593,-76.18087388511167 56.123889478634865,-76.63003152717141 55.9790722914612)))"
2,1899,2013,115,855203,True,"MULTIPOLYGON(((-76.63003152717141 57.681282394574936,-77.07918916923119 57.81965799444261,-77.07918916923119 58.09482323759508,-76.63003152717141 58.23161534424471,-76.18087388511167 58.09482323759508,-76.18087388511167 57.81965799444261,-76.63003152717141 57.681282394574936)))"
