"scientific_name","rank"
"Ictinia mississippiensis","species"
"Recurvirostra americana","species"
"Phalaropus lobatus","species"
"Carduelis carduelis","species"
"Cepphus grylle","species"
"Acanthis flammea","species"
"Selasphorus rufus","species"
"Petrochelidon fulva","species"
"Thalasseus sandvicensis","species"
"Platalea ajaja","species"
"Dendrocygna autumnalis","species"
"Limosa haemastica","species"
"Ixoreus naevius","species"
"Zenaida asiatica","species"
"Stercorarius parasiticus","species"
"Charadrius wilsonia","species"
"Egretta garzetta","species"
"Ardenna gravis","species"
"Setophaga dominica","species"
"Uria lomvia","species"
"Hydrocoloeus minutus","species"
"Cygnus columbianus","species"
"Ardenna grisea","species"
"Loxia leucoptera","species"
"Calidris pugnax","species"
"Chondestes grammacus","species"
"Tyrannus verticalis","species"
"Alle alle","species"
"Colinus virginianus","species"
"Larus canus","species"
"Gelochelidon nilotica","species"
"Larus californicus","species"
"Buteo swainsoni","species"
"Tyrannus forficatus","species"
"Bombycilla garrulus","species"
"Numenius americanus","species"
"Pinicola enucleator","species"
"Calidris ferruginea","species"
"Sialia currucoides","species"
"Eudocimus albus","species"
"Piranga ludoviciana","species"
"Zonotrichia querula","species"
"Cygnus buccinator","species"
"Antrostomus carolinensis","species"
"Tyrannus savana","species"
"Porphyrio martinica","species"
"Oenanthe oenanthe","species"
"Phalaropus fulicarius","species"
"Vanellus vanellus","species"
"Myiarchus cinerascens","species"
"Icterus bullockii","species"
"Acanthis hornemanni","species"
"Anser anser","species"
"Elanoides forficatus","species"
"Calidris ruficollis","species"
"Progne tapera","species"
"Archilochus alexandri","species"
"Sayornis saya","species"
"Pelecanus occidentalis","species"
"Himantopus mexicanus","species"
"Corvus monedula","species"
"Pipilo chlorurus","species"
"Calcarius pictus","species"
"Puffinus lherminieri","species"
"Mycteria americana","species"
"Patagioenas fasciata","species"
"Pterodroma hasitata","species"
"Pagophila eburnea","species"
"Cynanthus latirostris","species"
"Dendrocygna bicolor","species"
"Fulmarus glacialis","species"
"Phaethon lepturus","species"
"Pelagodroma marina","species"
"Leucophaeus pipixcan","species"
"Myadestes townsendi","species"
"Ephemerella","genus"
"Setophaga nigrescens","species"
"Empidonax difficilis","species"
"Setophaga occidentalis","species"
"Passerina amoena","species"
"Aechmophorus occidentalis","species"
"Pheucticus melanocephalus","species"
"Anthus spragueii","species"
"Columbina passerina","species"
"Aegolius funereus","species"
"Fregata magnificens","species"
"Sturnella neglecta","species"
"Elanus leucurus","species"
"Streptopelia decaocto","species"
"Anhinga anhinga","species"
"Puffinus puffinus","species"
"Onychoprion fuscatus","species"
"Stercorarius pomarinus","species"
"Poecile hudsonicus","species"
"Rhynchophanes mccownii","species"
"Sterna paradisaea","species"
"Tringa erythropus","species"
"Zonotrichia atricapilla","species"
"Calamospiza melanocorys","species"
"Pipilo maculatus","species"
"Caracara cheriway","species"
"Limosa lapponica","species"
"Limosa limosa","species"
"Geothlypis tolmiei","species"
"Fratercula arctica","species"
"Picoides dorsalis","species"
"Rhodostethia rosea","species"
"Fringilla coelebs","species"
"Stercorarius skua","species"
"Egretta gularis","species"
