"scientific_name","rank"
"Helius","genus"
"Limonia","genus"
"Limnophila","genus"
"Pedicia","genus"
"Ectopria","genus"
"Psephenus","genus"
"Scirtes","genus"
"Aeshna","genus"
"Boyeria","genus"
"Cordulegaster","genus"
"Somatochlora","genus"
"Dromogomphus","genus"
"Hagenius","genus"
"Lanthus","genus"
"Ophiogomphus","genus"
"Stylogomphus","genus"
"Calopteryx","genus"
"Argia","genus"
"Enallagma","genus"
"Ischnura","genus"
"Mesovelia","genus"
"Corydalus","genus"
"Nigronia","genus"
"Sialis","genus"
"Crangonyx","genus"
"Gammarus","genus"
"Hyalella","genus"
"Picoides villosus","species"
"Oreothlypis ruficapilla","species"
"Bathyarca anomala","species"
"Crucibulum striatum","species"
"Crenella pectinula","species"
"Panomya arctica","species"
"Urticina felina","species"
"Madrepora","genus"
"Panomya","genus"
"Boltenia echinata","species"
"Ophiopholis","genus"
"Molpadia borealis","species"
"Neomysis","genus"
"Euspira pallida","species"
"Didemnum","genus"
"Cirolana","genus"
"Havelockia scabra","species"
"Pennatula","genus"
"Scaphander punctostriatus","species"
"Cuspidaria pellucida","species"
"Peachia parasitica","species"
"Nicomache","genus"
"Stereoderma","genus"
"Mysis mixta","species"
"Corbula","genus"
"Axinulus croulinensis","species"
"Boltenia ovifera","species"
"Molpadia","genus"
"Thracia conradi","species"
"Aega","genus"
"Stoloteuthis","genus"
"Polinices","genus"
"Bolocera","genus"
"Primnoa","genus"
"Tmetonyx cicada","species"
"Gammaropsis melanops","species"
"Melphidippa goesi","species"
"Metopa groenlandica","species"
"Pleustes panopla","species"
"Boreotrophon clathratus","species"
"Hieracium alpinum","species"
"Pedicularis flammea","species"
"Racomitrium","genus"
"Cladina arbuscula","infraspecies"
"Conostomum tetragonum","species"
"Pyrola minor","species"
"Veronica wormskjoldii","species"
"Cladonia","genus"
"Stereocaulon","genus"
"Vaccinium vitis-idaea","species"
"Cassiope tetragona","species"
"Diapensia lapponica","species"
"Flavocetraria","genus"
"Rhododendron tomentosum","species"
"Rhododendron groenlandicum","species"
"Phyllodoce caerulea","species"
"Dryas integrifolia","species"
"Oxytropis campestris","species"
"Arctostaphylos alpina","species"
"Pedicularis lapponica","species"
"Pyrola","genus"
"Silene acaulis","species"
"Cladonia deformis","species"
"Potentilla hyparctica","species"
"Oncophorus wahlenbergii","species"
"Alces americanus","species"
"Canis lupus","species"
"Ovibos moschatus","species"
"Lynx rufus","species"
"Odocoileus virginianus","species"
"Canis latrans","species"
"Ursus americanus","species"
"Lynx canadensis","species"
"Canis lupus familiaris","infraspecies"
"Papilio canadensis","species"
"Colias philodice","species"
"Cupido amyntula","species"
"Plebejus idas","species"
"Plebejus melissa","species"
"Plebejus saepiolus","species"
"Speyeria aphrodite","species"
"Speyeria callippe","species"
"Polygonia satyrus","species"
"Aglais milberti","species"
"Coenonympha inornata","species"
"Erebia epipsodea","species"
"Oeneis macounii","species"
"Erynnis icelus","species"
"Hesperia nevada","species"
"Pontia occidentalis","species"
"Pieris rapae","species"
"Euchloe ausonides","species"
"Lycaena heteronea","species"
"Satyrium titus","species"
"Euphilotes battoides","species"
"Plebejus icarioides","species"
"Papilio zelicaon","species"
"Thorybes pylades","species"
"Carterocephalus palaemon","species"
"Thymelicus lineola","species"
"Polites themistocles","species"
"Callophrys niphon","species"
"Cupido comyntas","species"
"Glaucopsyche lygdamus","species"
"Speyeria atlantis","species"
"Boloria bellona","species"
"Phyciodes cocyta","species"
"Limenitis arthemis","species"
"Colias eurytheme","species"
"Polygonia progne","species"
"Phyciodes batesii","species"
"Erora laeta","species"
"Oarisma garita","species"
"Callophrys henrici","species"
"Colias gigantea","species"
"Euchloe creusa","species"
"Asterocampa celtis","species"
"Satyrium calanus","species"
"Satyrium edwardsii","species"
"Satyrium acadica","species"
"Chlosyne harrisii","species"
"Amblyscirtes hegon","species"
"Poanes massasoit","species"
"Satyrium liparops","species"
"Anthocharis sara","species"
"Lethe appalachia","species"
"Hylephila phyleus","species"
"Pieris virginiensis","species"
"Nymphalis californica","species"
"Papilio cresphontes","species"
"Papilio glaucus","species"
"Papilio troilus","species"
"Celastrina ladon","species"
"Euphyes dukesi","species"
"Celastrina serotina","species"
"Limenitis arthemis astyanax","subspecies"
"Erynnis baptisiae","species"
"Pontia sisymbrii","species"
"Erynnis horatius","species"
"Callophrys mossii","species"
"Celastrina echo","species"
"Parrhasius m-album","species"
"Polygonia gracilis","species"
"Euphydryas gillettii","species"
"Euphydryas editha","species"
"Oeneis chryxus","species"
"Erynnis propertius","species"
"Boloria alberta","species"
"Callophrys eryphon","species"
"Libytheana carinenta","species"
"Pyrgus communis","species"
"Pyrisitia lisa","species"
"Nathalis iole","species"
"Hesperia assiniboia","species"
"Colias nastes","species"
"Boloria frigga","species"
"Erebia rossii","species"
"Chlosyne nycteis","species"
"Pontia protodice","species"
"Parnassius clodius","species"
"Colias christina","species"
"Lycaena dione","species"
"Satyrium sylvinus","species"
"Speyeria mormonia","species"
"Boloria epithore","species"
"Euphydryas chalcedona","species"
"Chlosyne gorgone","species"
"Abaeis nicippe","species"
"Hesperia sassacus","species"
"Thorybes bathyllus","species"
"Battus philenor","species"
"Cercyonis pegala","species"
"Danaus plexippus","species"
"Erynnis juvenalis","species"
"Erynnis lucilius","species"
"Poanes hobomok","species"
"Amblyscirtes vialis","species"
"Pieris oleracea","species"
"Euchloe olympia","species"
"Celastrina lucia","species"
"Phyciodes tharos","species"
"Polygonia interrogationis","species"
"Polygonia comma","species"
"Vanessa atalanta","species"
"Ancyloxypha numitor","species"
"Polites mystic","species"
"Feniseca tarquinius","species"
"Speyeria cybele","species"
"Nymphalis antiopa","species"
"Limenitis archippus","species"
"Lethe anthedon","species"
"Lethe eurydice","species"
"Megisto cymela","species"
"Pyrgus centaureae","species"
"Papilio machaon","species"
"Papilio rutulus","species"
"Pieris marginalis","species"
"Lycaena helloides","species"
"Polygonia faunus","species"
"Plebejus lupini","species"
"Speyeria zerene","species"
"Speyeria hesperis","species"
"Colias alexandra","species"
"Lycaena mariposa","species"
"Speyeria hydaspe","species"
"Euphydryas anicia","species"
"Epargyreus clarus","species"
"Pholisora catullus","species"
"Euphyes vestris","species"
"Papilio polyxenes","species"
"Celastrina neglecta","species"
"Vanessa cardui","species"
"Colias interior","species"
"Lycaena dorcas","species"
"Erynnis persius","species"
"Polites draco","species"
"Callophrys augustinus","species"
"Callophrys lanoraieensis","species"
"Erebia discoidalis","species"
"Callophrys affinis","species"
"Anthocharis stella","species"
"Cercyonis sthenele","species"
"Parnassius smintheus","species"
"Phyciodes pulchella","species"
"Strymon melinus","species"
"Pontia beckerii","species"
"Pyrgus ruralis","species"
"Plebejus glandon","species"
"Papilio eurymedon","species"
"Limenitis lorquini","species"
"Polygonia oreas","species"
"Hesperia colorado","species"
"Satyrium behrii","species"
"Hesperia juba","species"
"Ochlodes sylvanoides","species"
"Papilio multicaudata","species"
"Polites peckius","species"
"Colias pelidne","species"
"Wallengrenia egeremet","species"
"Boloria eunomia","species"
"Papilio brevicauda","species"
"Lycaena phlaeas","species"
"Polyommatus icarus","species"
"Vanessa virginiensis","species"
"Glaucopsyche piasus","species"
"Hesperia leonardus","species"
"Lycaena hyllus","species"
"Junonia coenia","species"
"Poanes viator","species"
"Euphydryas phaeton","species"
"Boloria chariclea","species"
"Lycaena epixanthe","species"
"Polites origenes","species"
"Anatrytone logan","species"
"Satyrium caryaevorus","species"
"Colias hecla","species"
"Neophasia menapia","species"
"Chlosyne palla","species"
"Erynnis pacuvius","species"
"Papilio palamedes","species"
"Calycopis cecrops","species"
"Agraulis vanillae","species"
"Siproeta stelenes","species"
"Hypaurotis crysalus","species"
"Lycaena arota","species"
"Adelpha eulalia","species"
"Callophrys mcfarlandi","species"
"Erynnis telemachus","species"
"Zestusa dorus","species"
"Anthocharis sara thoosa","subspecies"
"Apodemia mormo","species"
"Cyllopsis gemma","species"
"Nastra lherminier","species"
"Glutophrissa drusilla","species"
"Strymon martialis","species"
"Eurema daira","species"
"Eantis tamenund","species"
"Eurema boisduvaliana","species"
"Pyrisitia nise","species"
"Erebia pawloskii","species"
"Plebejus acmon","species"
"Megathymus yuccae","species"
"Calycopis isobeon","species"
"Lethe creola","species"
"Lycaena cupreus","species"
"Amblyscirtes celia","species"
"Cabares potrillo","species"
"Cogia calchas","species"
"Heliopyrgus domicella","species"
"Nastra julia","species"
"Panoquina lucas","species"
"Pellicia arina","species"
"Pyrgus philetas","species"
"Staphylus mazans","species"
"Systasea pulverulenta","species"
"Wallengrenia otho","species"
"Battus polydamas","species"
"Pyrisitia proterpia","species"
"Ganyra josephina","species"
"Amblyscirtes aesculapius","species"
"Callophrys irus","species"
"Erebia mancinus","species"
"Erebia disa","species"
"Asterocampa clyton","species"
"Atrytonopsis hianna","species"
"Boloria freija","species"
"Euphyes bimacula","species"
"Euphyes conspicua","species"
"Pieris angelika","species"
"Oeneis polixenes","species"
"Erebia occulta","species"
"Erebia youngi","species"
"Colias palaeno","species"
"Erebia fasciata","species"
"Plebejus optilete","species"
"Oeneis uhleri","species"
"Chlosyne damoetas","species"
"Plebejus shasta","species"
"Phyciodes mylitta","species"
"Cercyonis oetus","species"
"Colias occidentalis","species"
"Lycaena editha","species"
"Atalopedes campestris","species"
"Erynnis funeralis","species"
"Oeneis nevadensis","species"
"Erebia vidleri","species"
"Erynnis afranius","species"
"Urbanus proteus","species"
"Anartia jatrophae","species"
"Heliconius charithonia","species"
"Eurytides marcellus","species"
"Poanes zabulon","species"
"Anthocharis midea","species"
"Polites vibex","species"
"Hermeuptychia sosybius","species"
"Hemiargus ceraunus","species"
"Phoebis sennae","species"
"Habrodais grunus","species"
"Adelpha californica","species"
"Limenitis weidemeyerii","species"
"Callophrys spinetorum","species"
"Callophrys sheridanii","species"
"Staphylus hayhurstii","species"
"Anaea andria","species"
"Anthanassa texana","species"
"Chlosyne lacinia","species"
"Zerene cesonia","species"
"Atlides halesus","species"
"Erynnis brizo","species"
"Papilio appalachiensis","species"
"Echinargus isola","species"
"Speyeria idalia","species"
"Hesperia ottoe","species"
"Papilio xuthus","species"
"Dryas iulia","species"
"Lycaena rubidus","species"
"Hesperia uncas","species"
"Oeneis alberta","species"
"Chlosyne acastus","species"
"Colias meadii","species"
"Boloria astarte","species"
"Oeneis melissa","species"
"Polites mardon","species"
"Phoebis agarithe","species"
"Eurema mexicana","species"
"Kricogonia lyside","species"
"Ascia monuste","species"
"Strymon istapa","species"
"Brephidium exilis","species"
"Calephelis nemesis","species"
"Euptoieta hegesia","species"
"Anthanassa tulcis","species"
"Phyciodes graphica","species"
"Phyciodes phaon","species"
"Danaus gilippus","species"
"Danaus eresimus","species"
"Junonia genoveva","species"
"Mestra amymone","species"
"Myscelia ethusa","species"
"Urbanus procne","species"
"Chiomara georgina","species"
"Pyrgus oileus","species"
"Pyrgus albescens","species"
"Heliopetes laviana","species"
"Copaeodes minima","species"
"Lerema accius","species"
"Lerodea eufala","species"
"Panoquina ocola","species"
"Piruna pirus","species"
"Thorybes mexicana","species"
"Leptotes marina","species"
"Leptotes cassius","species"
"Poanes taxiles","species"
"Chlosyne fulvia","species"
"Atrytonopsis python","species"
"Vanessa annabella","species"
"Euphilotes spaldingi","species"
"Hesperia viridis","species"
"Cyllopsis pertepida","species"
"Satyrium favonius","species"
"Achalarus lyciades","species"
"Autochton cellus","species"
"Hesperia metea","species"
"Celastrina nigra","species"
"Junonia evarete","species"
"Lethe portlandia","species"
"Parnassius eversmanni","species"
"Erebia callias","species"
"Gyrocheilus patrobas","species"
"Texola elada","species"
"Speyeria edwardsii","species"
"Euphilotes rita","species"
"Speyeria coronis","species"
"Lampides boeticus","species"
"Pieris","genus"
"Pyrgus adepta","species"
"Colias canadensis","species"
"Callophrys xami","species"
"Nyctelius nyctelius","species"
"Strymon alea","species"
"Apodemia walkeri","species"
"Heliconius erato","species"
"Satyrium semiluna","species"
"Apodemia palmerii","species"
"Polygonia","genus"
"Amblyscirtes eos","species"
"Erynnis","genus"
"Phaeostrymon alcestis","species"
"Euchloe lotta","species"
"Oarisma edwardsii","species"
"Atrytone arogos","species"
"Hesperia pahaska","species"
"Colias harfordii","species"
"Euphilotes","genus"
"Chlosyne californica","species"
"Copaeodes aurantiaca","species"
"Apodemia nais","species"
"Polites sonora","species"
"Euphilotes enoptes","species"
"Erora quaderna","species"
"Asterocampa leilia","species"
"Megisto rubricata","species"
"Achalarus casica","species"
"Emesis zela","species"
"Celastrina idella","species"
"Callophrys hesseli","species"
"Calephelis muticum","species"
"Thorybes confusis","species"
"Satyrium kingi","species"
"Euphyes arpa","species"
"Euphyes pilatka","species"
"Oligoria maculata","species"
"Calephelis virginiensis","species"
"Atrytonopsis loammi","species"
"Erynnis zarucco","species"
"Asbolis capucinus","species"
"Neonympha areolatus","species"
"Panoquina panoquin","species"
"Panoquina panoquinoides","species"
"Plebejus samuelis","species"
"Heliopetes ericetorum","species"
"Phoebis philea","species"
"Marpesia petreus","species"
"Anartia fatima","species"
"Calephelis perditalis","species"
"Calpodes ethlius","species"
"Neominois ridingsii","species"
"Polites sabuleti","species"
"Lycaena nivalis","species"
"Speyeria egleis","species"
"Chlosyne hoffmanni","species"
"Euphilotes ancilla","species"
"Colias behrii","species"
"Ministrymon leda","species"
"Amblyscirtes carolina","species"
"Phocides polybius","species"
"Phocides pigmalion","species"
"Cymaenes trebius","species"
"Cymaenes tripunctus","species"
"Nastra neamathla","species"
"Urbanus dorantes","species"
"Chioides zilpa","species"
"Heliopetes macaira","species"
"Coptidium lapponicum","species"
"Staphylus ceos","species"
"Neonympha mitchellii","species"
"Erynnis tristis","species"
"Strymon bazochii","species"
"Eunica tatila","species"
"Hamadryas februa","species"
"Eueides isabella","species"
"Marpesia chiron","species"
"Phyciodes picta","species"
"Anaea aidea","species"
"Poanes melane","species"
"Paratrytone snowi","species"
"Papilio indra","species"
"Zerene eurydice","species"
"Chlosyne leanira","species"
"Euchloe hyantis","species"
"Panoquina errans","species"
"Apyrrothrix araxes","species"
"Atrytonopsis lunus","species"
"Dymasia dymas","species"
"Amblyscirtes aenus","species"
"Piruna aea","species"
"Amblyscirtes cassus","species"
"Cogia hippalus","species"
"Systasea zampa","species"
"Celotes nessus","species"
"Thorybes drusius","species"
"Atrytonopsis edwardsi","species"
"Cyllopsis pyracmon","species"
"Plebejus anna","species"
"Euphydryas colon","species"
"Calephelis borealis","species"
"Poanes aaroni","species"
"Agathymus neumoegeni","species"
"Calephelis arizonensis","species"
"Anteos clorinde","species"
"Caria ino","species"
"Speyeria diana","species"
"Hesperia comma","species"
"Phyciodes","genus"
"Polygonus leo","species"
"Ephyriades brunnea","species"
"Anthanassa frisia","species"
"Celastrina","genus"
"Celastrina neglectamajor","species"
"Boloria polaris","species"
"Satyrium ilavia","species"
"Zizula cyna","species"
"Chlosyne janais","species"
"Papilio ornythion","species"
"Amblyscirtes nysa","species"
"Astraptes fulgerator","species"
"Carrhenes canescens","species"
"Oenomaus ortygnus","species"
"Doxocopa laure","species"
"Doxocopa pavon","species"
"Cyanophrys miserabilis","species"
"Strephonota tephraeus","species"
"Memphis glycerium","species"
"Achalarus toxeus","species"
"Adelpha fessonia","species"
"Rekoa palegon","species"
"Synapte pecta","species"
"Ministrymon clytie","species"
"Strymon rufofusca","species"
"Emesis emesia","species"
"Allosmaitia strophius","species"
"Dynamine postverta","species"
"Hamadryas guatemalena","species"
"Quasimellana eulogius","species"
"Chioides albofasciatus","species"
"Anthanassa argentea","species"
"Anthanassa ptolyca","species"
"Melanis pixe","species"
"Vidius perigenes","species"
"Hesperopsis alpheus","species"
"Ministrymon azia","species"
"Strymon bebrycia","species"
"Eunica monima","species"
"Aphrissa statira","species"
"Lerodea arabus","species"
"Memphis pithyusa","species"
"Anteos maerula","species"
"Poanes yehl","species"
"Problema bulenta","species"
"Problema byssus","species"
"Heliopyrgus sublinea","species"
"Oeneis alpina","species"
"Spathilepia clonius","species"
"Timochares ruptifasciata","species"
"Brephidium pseudofea","species"
"Amblyscirtes belli","species"
"Satyrium californica","species"
"Chlosyne theona","species"
"Boloria improba","species"
"Melete lycimnia","species"
"Panthiades bathildis","species"
"Rekoa marius","species"
"Lasaia sula","species"
"Hermeuptychia hermes","species"
"Epiphile adrasta","species"
"Strymon yojoa","species"
"Dione moneta","species"
"Boloria alaskensis","species"
"Lycaena xanthoides","species"
"Dryadula phaetusa","species"
"Astraptes anaphus","species"
"Cyanophrys herodotus","species"
"Historis acheronta","species"
"Chlorostrymon simaethis","species"
"Biblis hyperia","species"
"Rhinthon osca","species"
"Historis odius","species"
"Polygonus savigny","species"
"Aguna asander","species"
"Eumaeus atala","species"
"Pyrgus scriptura","species"
"Codatractus alcaeus","species"
"Aglais io","species"
"Anaea troglodyta","species"
"Erynnis meridianus","species"
"Calephelis rawsoni","species"
"Papilio anchisiades","species"
"Panoquina evansi","species"
"Aguna metophis","species"
"Anastrus sempiternus","species"
"Panoquina hecebolus","species"
"Monca crispinus","species"
"Hesperia lindseyi","species"
"Oarisma poweshiek","species"
"Urbanus teleus","species"
"Chlosyne endeis","species"
"Satyrium saepium","species"
"Thorybes","genus"
"Erebia magdalena","species"
"Electrostrymon angelia","species"
"Colias tyche","species"
"Colias","genus"
"Polites baracoa","species"
"Strymon acis","species"
"Decinea percosius","species"
"Chlosyne definita","species"
"Piruna haferniki","species"
"Stinga morrisoni","species"
"Amblyscirtes alternata","species"
"Pyrgus centaureae wyandot","subspecies"
"Autochton cincta","species"
"Amblyscirtes reversa","species"
"Polites rhesus","species"
"Callophrys perplexa","species"
"Cerastium","genus"
"Satyrium polingi","species"
"Satyrium","genus"
"Mimoides phaon","species"
"Hesperia columbia","species"
"Lycaena gorgon","species"
"Anthocharis lanceolata","species"
"Satyrium tetra","species"
"Callophrys fotis","species"
"Plebejus neurona","species"
"Callophrys johnsoni","species"
"Poladryas arachne","species"
"Amblyscirtes fimbriata","species"
"Euphyes berryi","species"
"Speyeria nokomis","species"
"Plebejus podarce","species"
"Hesperia meskei","species"
"Apodemia virgulti","species"
"Plebejus fridayi","species"
"Satyrium auretorum","species"
"Cyclargus thomasi","species"
"Ochlodes yuma","species"
"Boloria","genus"
"Euphilotes baueri","species"
"Neonympha helicta","species"
"Hermeuptychia","genus"
"Erebia lafontainei","species"
"Hesperia attalus","species"
"Parnassius behrii","species"
"Erebia mackinleyensis","species"
"Megathymus cofaqui","species"
"Codatractus arizonensis","species"
"Euphilotes bernardino","species"
"Boloria kriemhild","species"
"Ancyloxypha arene","species"
"Agathymus aryxna","species"
"Poladryas minuta","species"
"Amblyscirtes phylace","species"
"Pyrgus xanthus","species"
"Emesis ares","species"
"Megathymus streckeri","species"
"Polites carus","species"
"Amblyscirtes oslari","species"
"Callophrys comstocki","species"
"Phyciodes orseis","species"
"Chlosyne whitneyi","species"
"Euphilotes glaucon","species"
"Smyrna blomfildia","species"
"Strymon albata","species"
"Marpesia eleuchea","species"
"Gorgythion begga","species"
"Apodemia duryi","species"
"Pyrisitia dina","species"
"Strymon solitario","species"
"Atrytonopsis deva","species"
"Megathymus ursus","species"
"Ochlodes agricola","species"
"Chlosyne gabbii","species"
"Papilio aristodemus","species"
"Speyeria adiaste","species"
"Euphilotes columbiae","species"
"Apodemia chisosensis","species"
"Pseudocopaeodes eunus","species"
"Amblyscirtes nereus","species"
"Hesperia woodgatei","species"
"Hesperia miriamae","species"
"Euphilotes pallescens","species"
"Satyrium fuliginosa","species"
"Atrytonopsis pittacus","species"
"Electrostrymon hugon","species"
"Callophrys dumetorum","species"
"Piruna polingii","species"
"Amblyscirtes exoteria","species"
"Oeneis philipi","species"
"Parnassius phoebus","species"
"Hesperia dacotae","species"
"Calephelis wrighti","species"
"Euchloe naina","species"
"Amblyraja jenseni","species"
"Orconectes limosus","species"
"Cambarus bartonii","species"
"Fucus vesiculosus","species"
"Saccharina latissima","species"
"Laminaria digitata","species"
"Chorda filum","species"
"Agarum clathratum","species"
"Carpiodes cyprinus","species"
"Dorosoma cepedianum","species"
"Oncorhynchus kisutch","species"
"Pomoxis nigromaculatus","species"
"Oncorhynchus tshawytscha","species"
"Scardinius erythrophthalmus","species"
"Amia calva","species"
"Lepisosteus osseus","species"
"Labidesthes sicculus","species"
"Cyprinella spiloptera","species"
"Noturus gyrinus","species"
"Morone chrysops","species"
"Orconectes virilis","species"
"Orconectes propinquus","species"
"Saccorhiza dermatodea","species"
"Fucus distichus evanescens","subspecies"
"Chondrus crispus","species"
"Alaria esculenta","species"
"Fucus spiralis","species"
"Ascophyllum nodosum","species"
"Cambarus robustus","species"
"Phoca groenlandica","species"
"Anisarchus medius","species"
"Cryptopsaras couesii","species"
"Cyclothone microdon","species"
"Polyipnus clarus","species"
"Neoscopelus macrolepidotus","species"
"Notoscopelus elongatus","species"
"Lampadena speculigera","species"
"Sebastes norvegicus","species"
"Micromesistius poutassou","species"
"Pleuronectes putnami","species"
"Botryllus schlosseri","species"
"Diplosoma listerianum","species"
"Didemnum vexillum","species"
"Caprella mutica","species"
"Ciona intestinalis","species"
"Styela clava","species"
"Membranipora membranacea","species"
"Ascidiella aspersa","species"
"Botrylloides violaceus","species"
"Ichthyomyzon castaneus","species"
"Mola mola","species"
"Dikerogammarus villosus","species"
"Cercopagis pengoi","species"
"Monodon monoceros","species"
"Orconectes obscurus","species"
"Thunnus thynnus","species"
"Carcharodon carcharias","species"
"Scomber colias","species"
"Kalmia procumbens","species"
"Armeria maritima sibirica","infraspecies"
"Carex lenticularis","species"
"Juncus filiformis","species"
"Agrostis mertensii","species"
"Pleurozium schreberi","species"
"Pohlia nutans","species"
"Empetrum nigrum","species"
"Avenella flexuosa","species"
"Lycopodium lagopus","species"
"Cladonia stellaris","species"
"Cladonia rangiferina","species"
"Arctocetraria andrejevii","species"
"Cladonia mitis","species"
"Cladonia gracilis","species"
"Dicranum undulatum","species"
"Polytrichum juniperinum","species"
"Flavocetraria nivalis","species"
"Cladonia cariosa","species"
"Cladonia cornuta","species"
"Cladonia borealis","species"
"Hamatocaulis vernicosus","species"
"Salix pedicellaris","species"
"Carex magellanica irrigua","infraspecies"
"Sphagnum compactum","species"
"Sphagnum lindbergii","species"
"Sphagnum riparium","species"
"Sphagnum fallax","species"
"Drosera rotundifolia","species"
"Andromeda polifolia latifolia","species"
"Vaccinium oxycoccos","species"
"Carex limosa","species"
"Maianthemum trifolium","species"
"Betula michauxii","species"
"Racomitrium lanuginosum","species"
"Arctous alpina","species"
"Salix uva-ursi","species"
"Peltigera aphthosa","species"
"Flavocetraria cucullata","species"
"Alectoria ochroleuca","species"
"Straminergon stramineum","species"
"Dicranum leioneuron","species"
"Sphagnum balticum","species"
"Sphagnum warnstorfii","species"
"Solidago macrophylla","species"
"Lonicera villosa","species"
"Kalmia polifolia","species"
"Lysimachia borealis","species"
"Rubus arcticus acaulis","infraspecies"
"Rubus chamaemorus","species"
"Trichophorum cespitosum","species"
"Selaginella selaginoides","species"
"Eurybia radula","species"
"Solidago uliginosa","species"
"Chamaedaphne calyculata","species"
"Carex microglochin","species"
"Carex oligosperma","species"
"Carex rostrata","species"
"Ptilidium ciliare","species"
"Cetraria nigricans","species"
"Sphaerophorus globosus","species"
"Dicranum fuscescens","species"
"Ptilium crista-castrensis","species"
"Cornus canadensis","species"
"Linnaea borealis longiflora","species"
"Nephroma arcticum","species"
"Sphagnum fimbriatum","species"
"Sphagnum pulchrum","species"
"Sphagnum squarrosum","species"
"Sphagnum subsecundum","species"
"Comarum palustre","species"
"Carex aquatilis","species"
"Equisetum fluviatile","species"
"Dicranum groenlandicum","species"
"Sphagnum capillifolium","species"
"Tetraplodon mnioides","species"
"Cladonia amaurocraea","species"
"Andreaea rupestris","species"
"Stereocaulon paschale","species"
"Trapeliopsis granulosa","species"
"Cetraria arenaria","species"
"Peltigera canina","species"
"Draba glabella","species"
"Mononeuria groenlandica","species"
"Salix glauca cordifolia","infraspecies"
"Carex arctogena","species"
"Woodsia alpina","species"
"Cladonia chlorophaea","species"
"Meesia triquetra","species"
"Sphagnum angustifolium","species"
"Salix planifolia","species"
"Sphagnum russowii","species"
"Sphagnum rubellum","species"
"Vaccinium cespitosum","species"
"Carex brunnescens","species"
"Luzula parviflora","species"
"Sanionia uncinata","species"
"Bistorta vivipara","species"
"Salix argyrocarpa","species"
"Calamagrostis canadensis","species"
"Vahlodea atropurpurea","species"
"Carex canescens","species"
"Cladopodiella fluitans","species"
"Sarmentypnum exannulatum","species"
"Menyanthes trifoliata","species"
"Carex livida","species"
"Juncus stygius americanus","infraspecies"
"Sanguisorba canadensis","species"
"Vaccinium angustifolium","species"
"Geocaulon lividum","species"
"Juniperus communis depressa","infraspecies"
"Warnstorfia fluitans","species"
"Campylium stellatum","species"
"Loeskypnum badium","species"
"Castilleja septentrionalis","infraspecies"
"Carex exilis","species"
"Triglochin maritima","species"
"Tofieldia pusilla","species"
"Platanthera dilatata","species"
"Spiranthes romanzoffiana","species"
"Petasites frigidus palmatus","infraspecies"
"Cetraria ericetorum","species"
"Cladonia stygia","species"
"Myrica gale","species"
"Carex pauciflora","species"
"Umbilicaria proboscidea","species"
"Sphagnum platyphyllum","species"
"Sphagnum subfulvum","species"
"Drosera anglica","species"
"Coptis trifolia","species"
"Scorpidium scorpioides","species"
"Trichophorum alpinum","species"
"Bryoria nitidula","species"
"Dryopteris fragrans","species"
"Dicranum elongatum","species"
"Sphagnum fuscum","species"
"Carex rariflora","species"
"Arenaria humifusa","species"
"Pyrola grandiflora","species"
"Anemone parviflora","species"
"Salix vestita","species"
"Mitella nuda","species"
"Bartsia alpina","species"
"Juniperus communis","species"
"Polytrichum piliferum","species"
"Betula pumila glandulifera","species"
"Carex chordorrhiza","species"
"Triantha glutinosa","species"
"Equisetum arvense","species"
"Gaultheria hispidula","species"
"Pinguicula vulgaris","species"
"Eriophorum viridicarinatum","species"
"Hypnum lindbergii","species"
"Pseudobryum cinclidioides","species"
"Ribes glandulosum","species"
"Dryopteris expansa","species"
"Sphagnum magellanicum","species"
"Carex tenuiflora","species"
"Viburnum edule","species"
"Amelanchier bartramiana","species"
"Solidago multiradiata","species"
"Carex vaginata","species"
"Phleum alpinum","species"
"Taraxacum lapponicum","species"
"Hylocomium splendens","species"
"Meesia uliginosa","species"
"Calamagrostis stricta","species"
"Carex capillaris fuscidula","infraspecies"
"Rhododendron lapponicum","species"
"Scorpidium cossonii","species"
"Achillea millefolium borealis","infraspecies"
"Arabidopsis arenicola","species"
"Chamaenerion latifolium","species"
"Rubus idaeus strigosus","infraspecies"
"Elymus trachycaulus","species"
"Trisetum spicatum","species"
"Taraxacum ceratophorum","species"
"Viscaria alpina","species"
"Sabulina dawsonensis","species"
"Sibbaldia tridentata","species"
"Deschampsia cespitosa","species"
"Botrychium lunaria","species"
"Festuca prolifera lasiolepis","species"
"Pedicularis labradorica","species"
"Luzula confusa","species"
"Cetraria aculeata","species"
"Gowardia nigricans","species"
"Lepra panyrga","species"
"Cerastium alpinum lanatum","infraspecies"
"Packera pauciflora","species"
"Eriophorum vaginatum spissum","species"
"Dicranum acutifolium","species"
"Racomitrium microcarpum","species"
"Aulacomnium palustre","species"
"Salix arctophila","species"
"Carex utriculata","species"
"Neottia cordata","species"
"Scorpidium revolvens","species"
"Aulacomnium turgidum","species"
"Rhytidium rugosum","species"
"Cerastium arvense strictum","infraspecies"
"Sabulina rubella","species"
"Epilobium davuricum","species"
"Juncus triglumis albescens","species"
"Omalotheca norvegica","species"
"Rhinanthus minor groenlandicus","species"
"Schizachne purpurascens","species"
"Hylocomiastrum pyrenaicum","species"
"Packera aurea","species"
"Epilobium anagallidifolium","species"
"Geum rivale","species"
"Euphrasia wettsteinii","species"
"Shepherdia canadensis","species"
"Salix bebbiana","species"
