"fid","within_quebec","geom"
"855116","True","MULTIPOLYGON(((-79.32497737953 54.19850365951542,-79.77413502158974 54.34992286598044,-79.77413502158974 54.65109468086872,-79.32497737953 54.80084929792614,-78.87581973747022 54.65109468086872,-78.87581973747022 54.34992286598044,-79.32497737953 54.19850365951542)))"
"855117","True","MULTIPOLYGON(((-78.87581973747022 45.72003337687708,-79.32497737953 45.90078910917727,-79.32497737953 46.2605410411582,-78.87581973747022 46.43953751872483,-78.42666209541048 46.2605410411582,-78.42666209541048 45.90078910917727,-78.87581973747022 45.72003337687708)))"
"855118","True","MULTIPOLYGON(((-78.87581973747022 46.795772360332826,-79.32497737953 46.97301113617428,-79.32497737953 47.32573259083572,-78.87581973747022 47.50121581120846,-78.42666209541048 47.32573259083572,-78.42666209541048 46.97301113617428,-78.87581973747022 46.795772360332826)))"
"855119","True","MULTIPOLYGON(((-78.87581973747022 47.850428750131066,-79.32497737953 48.024159135835944,-79.32497737953 48.3698695606592,-78.87581973747022 48.54185038840175,-78.42666209541048 48.3698695606592,-78.42666209541048 48.024159135835944,-78.87581973747022 47.850428750131066)))"
"855120","True","MULTIPOLYGON(((-78.87581973747022 48.884065394003045,-79.32497737953 49.0543004778452,-79.32497737953 49.3930282153543,-78.87581973747022 49.56152188828269,-78.42666209541048 49.3930282153543,-78.42666209541048 49.0543004778452,-78.87581973747022 48.884065394003045)))"
"855121","True","MULTIPOLYGON(((-78.87581973747022 49.89677152835408,-79.32497737953 50.06352862398913,-79.32497737953 50.39531032037834,-78.87581973747022 50.56033615484632,-78.42666209541048 50.39531032037834,-78.42666209541048 50.06352862398913,-78.87581973747022 49.89677152835408)))"
"855122","True","MULTIPOLYGON(((-78.87581973747022 50.88866100833348,-79.32497737953 51.05196136232246,-79.32497737953 51.37684138502317,-78.87581973747022 51.538422486042094,-78.42666209541048 51.37684138502317,-78.42666209541048 51.05196136232246,-78.87581973747022 50.88866100833348)))"
"855123","True","MULTIPOLYGON(((-78.87581973747022 51.85987056614272,-79.32497737953 52.01973907100145,-79.32497737953 52.33776893795314,-78.87581973747022 52.49593191547987,-78.42666209541048 52.33776893795314,-78.42666209541048 52.01973907100145,-78.87581973747022 51.85987056614272)))"
"855124","True","MULTIPOLYGON(((-78.87581973747022 52.81055810568268,-79.32497737953 52.96702301969378,-79.32497737953 53.27826084269948,-78.87581973747022 53.43303553523545,-78.42666209541048 53.27826084269948,-78.42666209541048 52.96702301969378,-78.87581973747022 52.81055810568268)))"
"855125","True","MULTIPOLYGON(((-78.87581973747022 53.74090104049521,-79.32497737953 53.89399371533502,-79.32497737953 54.19850365951542,-78.87581973747022 54.34992286598044,-78.42666209541048 54.19850365951542,-78.42666209541048 53.89399371533502,-78.87581973747022 53.74090104049521)))"
