"geom","min_year","max_year","year_interval","year_count","id"
"POINT(-64.126831 46.773778)",2011,2014,3,"2",15674
"POINT(-77.547686 43.947746)",1992,2012,20,"21",13536
"POINT(-63 47)",1971,2016,45,"46",10064
"POINT(-78.523333 45.595278)",1952,1995,43,"43",12962
"POINT(-66.214847 41.627502)",1980,1993,13,"11",10864
"POINT(-61.56738 44.19795)",1995,2016,21,"22",11769
"POINT(-62.44628 43.89789)",1974,2008,34,"35",14363
"POINT(-61.56738 44.19795)",1982,1993,11,"12",11626
"POINT(-65.3 43)",1962,1988,26,"27",13177
"POINT(-61.56738 44.19795)",1974,1981,7,"6",12249
"POINT(-61.56738 44.19795)",1970,1981,11,"12",12060
"POINT(-62.28626 46.36766)",2008,2010,2,"3",15074
"POINT(-79.361398 43.62142)",2006,2012,6,"4",13572
"POINT(-71.71751 46.41901)",2017,2021,4,"3",16215
"POINT(-71.093778 40.671798)",1967,2005,38,"39",14200
"POINT(-64.11454 46.1827)",2009,2010,1,"2",15650
"POINT(-63 47)",1971,2016,45,"37",10012
"POINT(-67 43)",1970,2010,40,"41",14189
"POINT(-71.093778 40.671798)",1989,2016,27,"28",14657
"POINT(-64.126831 46.773778)",2004,2010,6,"7",15526
"POINT(-61.455567 46.07815)",2011,2014,3,"2",15297
"POINT(-65.50048 43.2532)",1995,2016,21,"22",11908
"POINT(-76.016667 43.133333)",2006,2014,8,"9",13022
"POINT(-61.56738 44.19795)",1970,1981,11,"12",11891
"POINT(-72 40)",1973,2016,43,"44",14669
"POINT(-78.523333 45.595278)",1972,1991,19,"19",12944
"POINT(-65.50048 43.2532)",1995,2016,21,"22",12637
"POINT(-49.956886 45.114711)",1972,1994,22,"16",11064
"POINT(-61.56738 44.19795)",1995,2016,21,"22",12101
"POINT(-61.56738 44.19795)",1970,1981,11,"12",12217
"POINT(-63 47)",1978,1990,12,"13",13205
"POINT(-74.58861 36.44722)",1981,2008,27,"28",14253
"POINT(-62.916667 47.416667)",1971,2012,41,"42",15042
"POINT(-55.3 46)",1959,1993,34,"35",13159
"POINT(-61.56738 44.19795)",1995,2010,15,"11",11358
"POINT(-51 49.15)",1980,1996,16,"17",13262
"POINT(-51.3 44.3)",1968,1986,18,"19",13340
"POINT(-55.3 46)",1959,1993,34,"35",13348
"POINT(-69 43)",1967,1989,22,"23",13356
"POINT(-78.291582 43.944964)",1987,2016,29,"30",14045
"POINT(-61.56738 44.19795)",1982,1994,12,"12",12314
"POINT(-65.3 43)",1970,1997,27,"28",13134
"POINT(-63.2 42)",1973,1986,13,"14",13161
"POINT(-65.50048 43.2532)",1995,2016,21,"22",11945
"POINT(-61.56738 44.19795)",1995,2016,21,"22",11446
"POINT(-61.1985 45.9668)",1996,1997,1,"2",14093
"POINT(-52 50)",1962,1992,30,"31",13252
"POINT(-62.28626 46.36766)",2009,2010,1,"2",15559
"POINT(-61.56738 44.19795)",1996,2008,12,"9",11332
"POINT(-72.88129 46.69751)",2016,2021,5,"6",16162
"POINT(-63.66575 45.8547)",2011,2014,3,"2",15735
"POINT(-67.064717 44.266029)",1971,1994,23,"18",10223
"POINT(-61.56738 44.19795)",1982,1984,2,"2",12610
"POINT(-65.50048 43.2532)",1995,2016,21,"22",12316
"POINT(-69.041914 40.95268)",1984,2016,32,"33",14419
"POINT(-65.50048 43.2532)",1995,2016,21,"22",12465
"POINT(-61.017433 46.6243)",2008,2010,2,"3",15696
"POINT(-81.87611 45.625)",1950,1983,33,"34",13380
"POINT(-81.10944 44.42389)",1992,1994,2,"3",13008
"POINT(-61.56738 44.19795)",1982,1994,12,"13",11710
"POINT(-65.57426 46.98624)",2008,2010,2,"3",15222
"POINT(-53.172992 49.757443)",1981,1994,13,"14",11290
"POINT(-48.319336 48.138699)",1975,1982,7,"8",14930
"POINT(-72.82857 45.04889)",2016,2019,3,"2",16184
"POINT(-77.229936 44.152886)",1992,2018,26,"27",13599
"POINT(-65.63232 43.2452)",1982,2006,24,"25",14366
"POINT(-50.370609 48.414273)",1977,2000,23,"24",14318
"POINT(-70.87637 46.85767)",2018,2020,2,"2",16085
"POINT(-65.50048 43.2532)",1982,1994,12,"13",11319
"POINT(-68.615921 41.275324)",1963,2005,42,"43",14149
"POINT(-50.521046 49.772834)",1975,2006,31,"32",14786
"POINT(-50.370609 48.414273)",1977,2000,23,"24",14268
"POINT(-65.098835 42.729563)",1970,1994,24,"25",10202
"POINT(-55.995809 46.034584)",1974,1994,20,"16",10361
"POINT(-61.56738 44.19795)",1982,1994,12,"13",11350
"POINT(-53.864595 53.910492)",1970,1994,24,"24",10156
"POINT(-61.56738 44.19795)",1970,1981,11,"12",12620
"POINT(-61.71722 48.33722)",1978,2000,22,"23",11194
"POINT(-52.121122 50.695322)",1978,1994,16,"10",10370
"POINT(-66.11667 46.55)",1970,2014,44,"45",12767
"POINT(-65.50048 43.2532)",2001,2015,14,"4",12281
"POINT(-56.383301 46.711721)",1984,1991,7,"5",14918
"POINT(-64.965766 47.341712)",2004,2010,6,"7",15271
"POINT(-51.19117 50.037337)",1978,1994,16,"17",11199
"POINT(-77.72313 43.99472)",2008,2015,7,"2",13807
"POINT(-65.50048 43.2532)",1995,2014,19,"17",11816
"POINT(-58.452138 49.69674)",1970,1994,24,"24",10956
"POINT(-64.873712 47.473463)",2011,2014,3,"2",15280
"POINT(-72.88129 46.69751)",2016,2021,5,"4",15963
"POINT(-84.499722 49.25)",1995,2006,11,"12",9990
"POINT(-61.56738 44.19795)",1991,1993,2,"3",11353
"POINT(-65.562778 46.995278)",2011,2014,3,"2",15363
"POINT(-72.82857 45.04889)",2016,2021,5,"3",16178
"POINT(-65.50048 43.2532)",1995,2016,21,"22",12322
"POINT(-62.067902 49.652037)",1988,1994,6,"3",10334
"POINT(-63.888896 46.512101)",2011,2014,3,"2",15742
"POINT(-67 41)",1950,1998,48,"49",13175
"POINT(-61.56738 44.19795)",1970,1981,11,"12",12152
"POINT(-77.547686 43.947746)",1992,2018,26,"27",13690
"POINT(-84.499722 49.25)",1995,2004,9,"9",9992
"POINT(-51.19117 50.037337)",1995,2001,6,"7",11198
"POINT(-49.931212 51.171824)",1983,2011,28,"29",14184
"POINT(-64.951922 46.75123)",2004,2010,6,"4",15558
"POINT(-68.615921 41.275324)",1963,2016,53,"54",14652
