"scientific_name"
"Coregonus artedi"
"Coregonus zenithicus"
"Selene setapinnis"
"Spinus tristis"
"Hesperiphona vespertina"
"Pseudacris crucifer"
"Myotis lucifugus"
"Moxostoma valenciennesi"
"Leucoraja erinacea"
"Micropterus salmoides"
"Isurus oxyrinchus"
"Troglodytes aedon"
"Pluvialis squatarola"
"Histrionicus histrionicus"
"Alopias vulpinus"
"Urophycis chuss"
"Myoxocephalus thompsonii"
"Gadus morhua"
"Uria lomvia"
"Sternotherus odoratus"
"Rostroraja eglanteria"
"Paralichthys dentatus"
"Botaurus lentiginosus"
"Sander vitreus"
"Desmognathus fuscus"
"Ardenna gravis"
"Vermivora cyanoptera"
"Gadus macrocephalus"
"Balaenoptera acutorostrata"
"Hyperoodon ampullatus"
