Species Name,Scientific Name Authorship,Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies
Equisetum fluviatile L.,L.,Plantae,Tracheophyta,Equisetopsida,Equisetales,Equisetaceae,Equisetum,Equisetum fluviatile,
Butomus umbellatus L.,L.,Plantae,Tracheophyta,Liliopsida,Alismatales,Butomaceae,Butomus,Butomus umbellatus,
Matteuccia struthiopteris (L.) Tod.,Tod. (L.),Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Onocleaceae,Matteuccia,Matteuccia struthiopteris,
Triglochin maritima Thunb.,Thunb.,Plantae,Tracheophyta,Liliopsida,Alismatales,Juncaginaceae,Triglochin,Triglochin maritima,
Achillea millefolium,,,,,,,,Achillea millefolium,
Corallorhiza maculata Greene,Greene,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Corallorhiza,Corallorhiza maculata,
Gymnocarpium disjunctum (Rupr.) A. & D. L̦ve,A. & D. L̦ve (Rupr.),Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Cystopteridaceae,Gymnocarpium,Gymnocarpium disjunctum,
Platanthera clavellata (Michx.) Luer,Luer (Michx.),Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platanthera,Platanthera clavellata,
Sagittaria cuneata E.Sheld.,E.Sheld.,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Sagittaria,Sagittaria cuneata,
Nymphaea odorata Aiton,Aiton,Plantae,Tracheophyta,Magnoliopsida,Nymphaeales,Nymphaeaceae,Nymphaea,Nymphaea odorata,
Sparganium eurycarpum Engelm. ex Gray,Engelm. ex Gray,Plantae,Tracheophyta,Liliopsida,Poales,Typhaceae,Sparganium,Sparganium eurycarpum,
Cinna latifolia (Trevir. ex G̦pp.) Griseb.,Griseb. (Trevir. ex G̦pp.),Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cinna,Cinna latifolia,
Alisma triviale Pursh,Pursh,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Alisma,Alisma triviale,
Thelypteris noveboracensis (L.) Nieuwl.,Nieuwl. (L.),,,,,,,Thelypteris noveboracensis ,
Eriocaulon aquaticum (Hill) Druce,Druce (Hill),Plantae,Tracheophyta,Liliopsida,Poales,Eriocaulaceae,Eriocaulon,Eriocaulon aquaticum,
Pteridium latiusculum (Desv.) Hieron. ex R.E.Fr.,Hieron. ex R.E.Fr. (Desv.),Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Dennstaedtiaceae,Pteridium,Pteridium latiusculum,
Chenopodium album Bosc. ex Moq.,Bosc. ex Moq.,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Chenopodium,Chenopodium album,
Streptopus amplexifolius (L.) DC.,DC. (L.),Plantae,Tracheophyta,Liliopsida,Liliales,Liliaceae,Streptopus,Streptopus amplexifolius,
Malaxis unifolia Michx.,Michx.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Malaxis,Malaxis unifolia,
Deparia acrostichoides (Sw.) M. Kato,M. Kato (Sw.),Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Athyriaceae,Deparia,Deparia acrostichoides,
Lonicera tatarica L.,L.,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Lonicera,Lonicera tatarica,
Pinus banksiana Lindl. & Gord.,Lindl. & Gord.,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Pinus,Pinus banksiana,
Smilax herbacea Thunb.,Thunb.,,,,,,,Smilax herbacea,
