"id","source_name","source_id","source_record_id","scientific_name","authorship","rank","valid","valid_srid","classification_srids","created_at","modified_at","modified_by"
155361,"ITIS","3","178618","Mimidae",NULL,"family",True,"178618","{202423,914154,914156,158852,331030,914179,914181,174371,178265,178618}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
167582,"Catalogue of Life","1","622J6","Canidae",NULL,"family",True,"622J6","{5T6MX,N,CH2,6224G,6226C,LG,VS,4CT,622J6}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
205482,"ITIS","3","75280","Conidae",NULL,"family",True,"75280","{202423,914154,914155,914159,69458,69459,78780,73228,75280}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
286814,"ITIS","3","154345","Colletidae",NULL,"family",True,"154345","{202423,914154,914155,914158,82696,563886,99208,100500,563890,914213,152741,152864,709253,154344,154345}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
279510,"ITIS","3","107674","Lygaeidae",NULL,"family",True,"107674","{202423,914154,914155,914158,82696,563886,99208,100500,563890,914214,103359,103358,107475,676847,107674}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
264464,"Catalogue of Life","1","8F4","Colchicaceae",NULL,"family",True,"8F4","{5T6MX,P,TP,L2L,623DL,8F4}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
203224,"GBIF Backbone Taxonomy","11","3874","Gigantactinidae",NULL,"family",True,"3874","{1,44,204,1305,3874}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
279493,"Catalogue of Life","1","C9P","Lygaeidae",NULL,"family",True,"C9P","{5T6MX,N,RT,H6,HP,5BP,C9P}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
199139,"GBIF Backbone Taxonomy","11","2227","Phosichthyidae",NULL,"family",True,"2227","{1,44,204,774,2227}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
154328,"Catalogue of Life","1","7QR","Cardinalidae",NULL,"family",True,"7QR","{5T6MX,N,CH2,V2,3RL,7QR}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
259661,"ITIS","3","160178","Carcharhinidae",NULL,"family",True,"160178","{202423,914154,914156,158852,331030,914179,914180,159785,159786,563987,551500,160178}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
183449,"Catalogue of Life","1","7NJWH","Myidae",NULL,"family",True,"7NJWH","{5T6MX,N,M2L,7NF3C,7NVXG,7NVXR,7VBDP,7NVY2,7NG87,7NFPT,7NJWH}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
157020,"Catalogue of Life","1","667","Alaudidae",NULL,"family",True,"667","{5T6MX,N,CH2,V2,3RL,667}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
284263,"Catalogue of Life","1","G45","Sciomyzidae",NULL,"family",True,"G45","{5T6MX,N,RT,H6,D2P,G45}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
165817,"Catalogue of Life","1","6KC","Apiaceae",NULL,"family",True,"6KC","{5T6MX,P,TP,MG,Q3,6KC}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
182334,"ITIS","3","157965","Strongylocentrotidae",NULL,"family",True,"157965","{202423,914154,914156,156857,157820,157821,157848,157891,157939,157965}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
178690,"ITIS","3","162057","Argentinidae",NULL,"family",True,"162057","{202423,914154,914156,158852,331030,914179,161061,161105,161928,553133,162056,623273,162057}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
174332,"GBIF Backbone Taxonomy","11","3247675","Sphaeriidae",NULL,"family",True,"3247675","{1,52,137,10495862,3247675}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
181600,"Catalogue of Life","1","6PY","Arhynchobatidae",NULL,"family",True,"6PY","{5T6MX,N,CH2,LB,3XR,6PY}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
164887,"ITIS","3","179875","Ptilogonatidae",NULL,"family",True,"179875","{202423,914154,914156,158852,331030,914179,914181,174371,178265,179875}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
194828,"ITIS","3","85321","Paracalanidae",NULL,"family",True,"85321","{202423,914154,914155,914158,82696,83677,621145,85257,610005,610007,85258,85321}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
171949,"Catalogue of Life","1","9SB","Ephemeridae",NULL,"family",True,"9SB","{5T6MX,N,RT,H6,372,622YC,9SB}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
