Species Name,Scientific Name Authorship,Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies
Odontoschisma denudatum (Mart.) Dumort.,Dumort. (Mart.),Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Cephaloziaceae,Odontoschisma,Odontoschisma denudatum,
"Neckera pennata Hedwig, 1801","Hedwig, 1801",Plantae,Bryophyta,Bryopsida,Leucodontales,Neckeraceae,Neckera,Neckera pennata,
"Hygrohypnum ochraceum Loeske, 1903","Loeske, 1903",Plantae,Bryophyta,Bryopsida,Hypnales,Amblystegiaceae,Hygrohypnum,Hygrohypnum ochraceum,
"Pylaisia polyantha W. P. Schimper in B.S.G., 1851","W. P. Schimper in B.S.G., 1851",Plantae,Bryophyta,Bryopsida,Hypnales,Hypnaceae,Pylaisia,Pylaisia polyantha,
Blasia pusilla L.,L.,Plantae,Marchantiophyta,Marchantiopsida,Blasiales,Blasiaceae,Blasia,Blasia pusilla,
Scapania nemorea (L.) Grolle,Grolle (L.),Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Scapaniaceae,Scapania,Scapania nemorea,
Marsupella sprucei (Limpr.) Bernet,Bernet (Limpr.),Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Gymnomitriaceae,Marsupella,Marsupella sprucei,
Scapania mucronata H.Buch,H.Buch,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Scapaniaceae,Scapania,Scapania mucronata,
"Grimmia longirostris W. J. Hooker, 1818","W. J. Hooker, 1818",Plantae,Bryophyta,Bryopsida,Grimmiales,Grimmiaceae,Grimmia,Grimmia longirostris,
"Grimmia teretinervis Limpricht, 1884","Limpricht, 1884",Plantae,Bryophyta,Bryopsida,Grimmiales,Grimmiaceae,Grimmia,Grimmia teretinervis,
Porella platyphylla (L.) Pfeiff.,Pfeiff. (L.),Plantae,Marchantiophyta,Jungermanniopsida,Porellales,Porellaceae,Porella,Porella platyphylla,
Bucklandiella microcarpa (Hedw.) Bednarek-Ochyra & Ochyra,Bednarek-Ochyra & Ochyra (Hedw.),Plantae,Bryophyta,Bryopsida,Grimmiales,Grimmiaceae,Bucklandiella,Bucklandiella microcarpa,
Orthotrichum alpestre Hornsch.,Hornsch.,Plantae,Bryophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Orthotrichum,Orthotrichum alpestre,
"Funaria hygrometrica (Hampe) Grout, 1935","Grout, 1935 (Hampe)",Plantae,Bryophyta,Bryopsida,Funariales,Funariaceae,Funaria,Funaria hygrometrica,
Kiaeria starkei (Web. & Mohr) I. Hag.,I. Hag. (Web. & Mohr),Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Kiaeria,Kiaeria starkei,
Barbilophozia attenuata (Mart.) Loeske,Loeske (Mart.),Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Anastrophyllaceae,Barbilophozia,Barbilophozia attenuata,
"Sphagnum tenerum Sullivant & Lesquereux ex Sullivant in A. Gray, 1856","Sullivant & Lesquereux ex Sullivant in A. Gray, 1856",Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,Sphagnum tenerum,
"Distichium inclinatum Bruch & W. P. Schimper in B.S.G., 1846","Bruch & W. P. Schimper in B.S.G., 1846",Plantae,Bryophyta,Bryopsida,Dicranales,Ditrichaceae,Distichium,Distichium inclinatum,
"Aphanorrhegma serratum Sullivant in A. Gray, 1848","Sullivant in A. Gray, 1848",Plantae,Bryophyta,Bryopsida,Funariales,Funariaceae,Aphanorrhegma,Aphanorrhegma serratum,
"Cynodontium tenellum Limpricht, 1877","Limpricht, 1877",Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Cynodontium,Cynodontium tenellum,
"Bryhnia novae-angliae Grout, 1898","Grout, 1898",Plantae,Bryophyta,Bryopsida,Hypnales,Brachytheciaceae,Bryhnia,Bryhnia novae-angliae,
"Hygrohypnum alpestre Loeske, 1905","Loeske, 1905",Plantae,Bryophyta,Bryopsida,Hypnales,Amblystegiaceae,Hygrohypnum,Hygrohypnum alpestre,
Pleuroclada albescens (Hook.) Spr.,Spr. (Hook.),Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Cephaloziaceae,Pleuroclada,Pleuroclada albescens,
Frullania bolanderi Aust.,Aust.,Plantae,Marchantiophyta,Jungermanniopsida,Porellales,Frullaniaceae,Frullania,Frullania bolanderi,
"Ditrichum gracile Kuntze, 1891","Kuntze, 1891",Plantae,Bryophyta,Bryopsida,Dicranales,Ditrichaceae,Ditrichum,Ditrichum gracile,
"Plagiopus oederianus H. Crum & L. E. Anderson, 1981","H. Crum & L. E. Anderson, 1981",Plantae,Bryophyta,Bryopsida,Bryales,Bartramiaceae,Plagiopus,Plagiopus oederianus,
Bruchia sullivantii Austin,Austin,,,,,,,Bruchia sullivantii,
"Fissidens adianthoides (Mitten) Braithwaite, 1887","Braithwaite, 1887 (Mitten)",Plantae,Bryophyta,Bryopsida,Fissidentales,Fissidentaceae,Fissidens,Fissidens adianthoides,
Campyliadelphus chrysophyllus (Brid.) R.S.Chopra,R.S.Chopra (Brid.),,,,,,,Campyliadelphus chrysophyllus,
Schistidium boreale Poelt,Poelt,Plantae,Bryophyta,Bryopsida,Grimmiales,Grimmiaceae,Schistidium,Schistidium boreale,
"Fontinalis antipyretica (C. MÃ¼ller) W. H. Welch in Grout, 1934","W. H. Welch in Grout, 1934 (C. MÃ¼ller)",Plantae,Bryophyta,Bryopsida,Isobryales,Fontinalaceae,Fontinalis,Fontinalis antipyretica,
"Sphagnum nitidum Warnstorf, 1895","Warnstorf, 1895",Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,Sphagnum nitidum,
"Amphidium mougeotii W. P. Schimper, 1856","W. P. Schimper, 1856",Plantae,Bryophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Amphidium,Amphidium mougeotii,
"Isopterygiopsis pulchella Iwatsuki, 1987","Iwatsuki, 1987",Plantae,Bryophyta,Bryopsida,Hypnales,Plagiotheciaceae,Isopterygiopsis,Isopterygiopsis pulchella,
"Brachythecium reflexum W. P. Schimper in B.S.G., 1853","W. P. Schimper in B.S.G., 1853",Plantae,Bryophyta,Bryopsida,Hypnales,Brachytheciaceae,Brachythecium,Brachythecium reflexum,
Moerckia hibernica (Hook.) Gottsche,Gottsche (Hook.),Plantae,Marchantiophyta,Jungermanniopsida,Pallaviciniales,Moerckiaceae,Moerckia,Moerckia hibernica,
Calypogeia neesiana (C.Massal. & Carestia) MÃ¼ll.Frib.,MÃ¼ll.Frib. (C.Massal. & Carestia),Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Calypogeiaceae,Calypogeia,Calypogeia neesiana,
Chandonanthus setiformis (Ehrh.) Lindb.,Lindb. (Ehrh.),,,,,,,Chandonanthus setiformis,
"Didymodon fallax Zander, 1978","Zander, 1978",Plantae,Bryophyta,Bryopsida,Pottiales,Pottiaceae,Didymodon,Didymodon fallax,
"Pohlia crudoides Brotherus, 1903","Brotherus, 1903",Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Pohlia,Pohlia crudoides,
"Fissidens lagenarius Mitten, 1868","Mitten, 1868",Plantae,Bryophyta,Bryopsida,Fissidentales,Fissidentaceae,Fissidens,Fissidens lagenarius,
